datetime,hour,amount
2022-05-26,14,54
2022-05-26,18,5921
2022-05-26,19,6701
2022-05-26,20,6287
2022-05-26,21,5153
2022-05-26,22,3730
2022-05-26,23,3094
2022-05-27,0,1078
2022-05-27,1,559
2022-05-27,2,535
2022-05-27,3,195
2022-05-27,4,187
2022-05-27,5,472
2022-05-27,6,1291
2022-05-27,7,1164
2022-05-27,8,409
2022-05-27,9,1772
2022-05-27,10,880
2022-05-27,11,2160
2022-05-27,12,2359
2022-05-27,13,429
2022-05-27,14,1659
2022-05-27,15,4534
2022-05-27,17,5370
2022-05-27,18,7985
2022-05-27,19,6631
2022-05-27,20,4955
2022-05-27,21,5150
2022-05-27,22,4396
2022-05-27,23,2889
2022-05-28,0,538
2022-05-28,1,1075
2022-05-28,2,368
2022-05-28,3,44
2022-05-28,4,811
2022-05-28,5,714
2022-05-28,7,2246
2022-05-28,8,1548
2022-05-28,9,812
2022-05-28,10,5119
2022-05-28,11,5280
2022-05-28,13,6252
2022-05-28,14,6497
2022-05-28,15,7326
2022-05-28,16,9336
2022-05-28,17,8653
2022-05-28,18,5058
2022-05-28,19,325
2022-05-28,20,5385
2022-05-28,21,3953
2022-05-28,23,1771
2022-05-29,0,844
2022-05-29,1,315
2022-05-29,2,638
2022-05-29,3,397
2022-05-29,4,258
2022-05-29,5,1515
2022-05-29,6,3053
2022-05-29,8,4185
2022-05-29,9,4953
2022-05-29,10,4610
2022-05-29,11,7258
2022-05-29,12,8599
2022-05-29,13,3753
2022-05-29,14,7358
2022-05-29,15,8203
2022-05-29,16,3998
2022-05-29,17,5148
2022-05-29,18,5307
2022-05-29,19,3259
2022-05-29,20,1732
2022-05-29,21,1960
2022-05-29,22,709
2022-05-29,23,381
2022-05-30,0,334
2022-05-30,1,89
2022-05-30,2,71
2022-05-30,3,987
2022-05-30,5,979
2022-05-30,6,3193
2022-05-30,7,370
2022-05-30,8,2359
2022-05-30,9,3902
2022-05-30,10,4542
2022-05-30,11,2735
2022-05-30,12,4022
2022-05-30,13,6456
2022-05-30,14,7421
2022-05-30,15,2432
2022-05-30,16,6827
2022-05-30,17,5332
2022-05-30,18,1695
2022-05-30,21,1455
2022-05-30,22,3097
2022-05-30,23,4936
2022-05-31,0,3265
2022-05-31,1,1454
2022-05-31,2,827
2022-05-31,3,619
2022-05-31,4,706
2022-05-31,5,1427
2022-05-31,6,1965
2022-05-31,7,1234
2022-05-31,8,5924
2022-05-31,9,4837
2022-05-31,10,1725
2022-05-31,11,3885
2022-05-31,12,7881
2022-05-31,13,8704
2022-05-31,14,6864
2022-05-31,15,12240
2022-05-31,16,14771
2022-05-31,17,7718
2022-05-31,18,7121
2022-05-31,19,12910
2022-05-31,20,5332
2022-05-31,21,7033
2022-05-31,22,7437
2022-05-31,23,2470
2022-06-01,0,1549
2022-06-01,1,1445
2022-06-01,2,901
2022-06-01,3,705
2022-06-01,4,948
2022-06-01,5,2093
2022-06-01,6,1776
2022-06-01,7,3582
2022-06-01,8,2004
2022-06-01,9,5456
2022-06-01,10,10209
2022-06-01,11,10075
2022-06-01,12,7279
2022-06-01,13,6103
2022-06-01,14,8823
2022-06-01,15,11028
2022-06-01,16,6953
2022-06-01,17,8117
2022-06-01,18,9946
2022-06-01,19,2516
2022-06-01,20,8421
2022-06-01,21,6438
2022-06-01,22,1483
2022-06-01,23,1675
2022-06-02,0,864
2022-06-02,1,438
2022-06-02,2,266
2022-06-02,3,1293
2022-06-02,4,2166
2022-06-02,5,1887
2022-06-02,6,2554
2022-06-02,7,4467
2022-06-02,8,4364
2022-06-02,9,3356
2022-06-02,10,7212
2022-06-02,11,6406
2022-06-02,12,8488
2022-06-02,13,8839
2022-06-02,14,11900
2022-06-02,15,8733
2022-06-02,16,12198
2022-06-02,17,9099
2022-06-02,18,8166
2022-06-02,19,4270
2022-06-02,20,3330
2022-06-02,21,2911
2022-06-02,22,1749
2022-06-02,23,753
2022-06-03,0,194
2022-06-03,1,296
2022-06-03,2,841
2022-06-03,3,1516
2022-06-03,4,2244
2022-06-03,5,5468
2022-06-03,6,4344
2022-06-03,7,5877
2022-06-03,8,6204
2022-06-03,9,4062
2022-06-03,10,7358
2022-06-03,11,6833
2022-06-03,12,6722
2022-06-03,13,9254
2022-06-03,14,14409
2022-06-03,15,12399
2022-06-03,16,3152
2022-06-03,17,11474
2022-06-03,18,2600
2022-06-03,19,3580
2022-06-03,20,4687
2022-06-03,21,1879
2022-06-03,22,1273
2022-06-03,23,894
2022-06-04,0,528
2022-06-04,1,1023
2022-06-04,2,2049
2022-06-04,3,2499
2022-06-04,4,2198
2022-06-04,5,5236
2022-06-04,6,4457
2022-06-04,7,6214
2022-06-04,8,5076
2022-06-04,9,3251
2022-06-04,10,5545
2022-06-04,11,6013
2022-06-04,12,6461
2022-06-04,13,4090
2022-06-04,14,7900
2022-06-04,15,7477
2022-06-04,16,3195
2022-06-04,17,4844
2022-06-04,18,4197
2022-06-04,19,977
2022-06-04,20,591
2022-06-04,21,554
2022-06-04,22,737
2022-06-04,23,266
2022-06-05,0,613
2022-06-05,1,703
2022-06-05,2,303
2022-06-05,3,2695
2022-06-05,4,424
2022-06-05,5,2820
2022-06-05,6,2561
2022-06-05,7,7257
2022-06-05,8,4973
2022-06-05,9,5377
2022-06-05,10,3946
2022-06-05,11,7923
2022-06-05,12,14
2022-06-05,13,7883
2022-06-05,14,5413
2022-06-05,15,4680
2022-06-05,16,3675
2022-06-05,17,2358
2022-06-05,18,1052
2022-06-05,19,470
2022-06-05,20,506
2022-06-05,21,46
2022-06-05,22,164
