datetime,hour,amount
2022-04-18,1,36
2022-04-18,2,69
2022-04-18,3,64
2022-04-18,4,70
2022-04-18,5,68
2022-04-18,6,63
2022-04-18,7,63
2022-04-18,8,75
2022-04-18,9,70
2022-04-18,10,68
2022-04-18,11,65
2022-04-18,12,69
2022-04-18,13,60
2022-04-18,14,66
2022-04-18,15,63
2022-04-18,16,74
2022-04-18,17,79
2022-04-18,18,70
2022-04-18,19,88
2022-04-18,20,99
2022-04-18,21,82
2022-04-18,22,79
2022-04-18,23,85
2022-04-19,0,78
2022-04-19,1,69
2022-04-19,2,63
2022-04-19,3,61
2022-04-19,4,57
2022-04-19,5,69
2022-04-19,6,74
2022-04-19,7,78
2022-04-19,8,66
2022-04-19,9,73
2022-04-19,10,62
2022-04-19,11,64
2022-04-19,12,64
2022-04-19,13,48
2022-04-19,14,28
2022-04-19,15,29
2022-04-19,16,35
2022-04-19,17,39
2022-04-19,18,52
2022-04-19,19,75
2022-04-19,20,74
2022-04-19,21,78
2022-04-19,22,75
2022-04-19,23,78
2022-04-20,0,81
2022-04-20,1,69
2022-04-20,2,59
2022-04-20,3,65
2022-04-20,4,59
2022-04-20,5,72
2022-04-20,6,76
2022-04-20,7,70
2022-04-20,8,66
2022-04-20,9,73
2022-04-20,10,78
2022-04-20,11,78
2022-04-20,12,83
2022-04-20,13,69
2022-04-20,14,77
2022-04-20,15,77
2022-04-20,16,63
2022-05-11,11,2145
2022-05-11,12,3721
2022-05-11,13,3485
2022-05-11,14,3342
2022-05-11,15,3279
2022-05-11,16,3625
2022-05-11,17,4741
2022-05-11,18,5026
2022-05-11,19,4162
2022-05-11,20,3632
2022-05-11,21,2707
2022-05-11,22,2083
2022-05-11,23,1471
2022-05-12,0,648
2022-05-12,1,496
2022-05-12,2,286
2022-05-12,3,231
2022-05-12,4,154
2022-05-12,5,324
2022-05-12,6,884
2022-05-12,7,2761
2022-05-12,8,4797
2022-05-12,9,2887
2022-05-12,10,2627
2022-05-12,11,2635
2022-05-12,12,3376
2022-05-12,13,3033
2022-05-12,14,3034
2022-05-12,15,2987
2022-05-12,16,3077
2022-05-12,17,4587
2022-05-12,18,4628
2022-05-12,19,4177
2022-05-12,20,3459
2022-05-12,21,2878
2022-05-12,22,2039
2022-05-12,23,1585
2022-05-13,0,699
2022-05-13,1,552
2022-05-13,2,255
2022-05-13,3,206
2022-05-13,4,159
2022-05-13,5,302
2022-05-13,6,800
2022-05-13,7,2603
2022-05-13,8,4515
2022-05-13,9,3106
2022-05-13,10,2600
2022-05-13,11,2671
2022-05-13,12,3299
2022-05-13,13,3197
2022-05-13,14,2877
2022-05-13,15,2924
2022-05-13,16,3199
2022-05-13,17,4316
2022-05-13,18,4077
2022-05-13,19,4040
2022-05-13,20,3413
2022-05-13,21,2871
2022-05-13,22,2188
2022-05-13,23,1787
2022-05-14,0,963
2022-05-14,1,788
2022-05-14,2,510
2022-05-14,3,376
2022-05-14,4,241
2022-05-14,5,377
2022-05-14,6,694
2022-05-14,7,1470
2022-05-14,8,2581
2022-05-14,9,2707
2022-05-14,10,2816
2022-05-14,11,3167
2022-05-14,12,3785
2022-05-14,13,3762
2022-05-14,14,3730
2022-05-14,15,3623
2022-05-14,16,3950
2022-05-14,17,4168
2022-05-14,18,4175
2022-05-14,19,4254
2022-05-14,20,3827
2022-05-14,21,3109
2022-05-14,22,2612
2022-05-14,23,2139
2022-05-15,0,1122
2022-05-15,1,834
2022-05-15,2,567
2022-05-15,3,410
2022-05-15,4,276
2022-05-15,5,427
2022-05-15,6,701
2022-05-15,7,1112
2022-05-15,8,2320
2022-05-15,9,2645
2022-05-15,10,2784
2022-05-15,11,3487
2022-05-15,12,3704
2022-05-15,13,3780
2022-05-15,14,4020
2022-05-15,15,3894
2022-05-15,16,3980
2022-05-15,17,4092
2022-05-15,18,3567
2022-05-15,19,3488
2022-05-15,20,3082
2022-05-15,21,2361
2022-05-15,22,1743
2022-05-15,23,1475
2022-05-16,0,695
2022-05-16,1,449
2022-05-16,2,288
2022-05-16,3,229
2022-05-16,4,184
2022-05-16,5,373
2022-05-16,6,1116
2022-05-16,7,2515
2022-05-16,8,4575
2022-05-16,9,2890
2022-05-16,10,2631
2022-05-16,11,2620
2022-05-16,12,3206
2022-05-16,13,3156
2022-05-16,14,3183
2022-05-16,15,3042
2022-05-16,16,3443
2022-05-16,17,4517
2022-05-16,18,4231
2022-05-16,19,3972
2022-05-16,20,3426
2022-05-16,21,2411
2022-05-16,22,1864
2022-05-16,23,1358
2022-05-17,0,652
2022-05-17,1,417
2022-05-17,2,302
2022-05-17,3,231
2022-05-17,4,134
2022-05-17,5,259
2022-05-17,6,863
2022-05-17,7,2669
2022-05-17,8,4586
2022-05-17,9,2766
2022-05-17,10,2534
2022-05-17,11,2726
2022-05-17,12,3149
2022-05-17,13,2807
2022-05-17,14,2729
2022-05-17,15,3171
2022-05-17,16,3105
2022-05-17,17,4341
2022-05-17,18,4506
2022-05-17,19,3831
2022-05-17,20,3293
2022-05-17,21,2525
2022-05-17,22,1824
2022-05-17,23,1470
2022-05-18,0,701
2022-05-18,1,445
2022-05-18,2,324
2022-05-18,3,248
2022-05-18,4,183
2022-05-18,5,318
2022-05-18,6,871
2022-05-18,7,2648
2022-05-18,8,4649
2022-05-18,9,2929
2022-05-18,10,2589
2022-05-18,11,2745
2022-05-18,12,3452
2022-05-18,13,3072
2022-05-18,14,3085
2022-05-18,15,3075
2022-05-18,16,3440
2022-05-18,17,4565
2022-05-18,18,4659
2022-05-18,19,3943
2022-05-18,20,3473
2022-05-18,21,2758
2022-05-18,22,2071
2022-05-18,23,1509
2022-05-19,0,797
2022-05-19,1,531
2022-05-19,2,250
2022-05-19,3,145
2022-05-19,4,29
2022-05-19,5,172
2022-05-19,6,270
2022-05-19,7,234
2022-05-19,8,1127
2022-05-19,9,621
2022-05-19,10,127
2022-05-19,11,752
2022-05-19,12,374
2022-05-19,13,495
2022-05-19,14,599
