datetime,hour,amount
2022-04-08,0,92
2022-04-08,1,104
2022-04-08,2,96
2022-04-08,3,94
2022-04-08,4,97
2022-04-08,5,49
2022-04-11,3,67
2022-04-11,4,78
2022-04-11,5,80
2022-04-11,6,98
2022-04-11,7,95
2022-04-11,8,81
2022-04-11,9,92
2022-04-11,10,78
2022-04-20,3,31
2022-04-20,4,31
2022-04-20,5,76
2022-04-20,6,83
2022-04-20,7,73
2022-04-20,8,65
2022-04-20,9,74
2022-04-20,10,81
2022-04-20,11,81
2022-04-20,12,83
2022-04-20,13,70
2022-04-20,14,78
2022-04-20,15,76
2022-04-20,16,29
2022-04-25,11,1254
2022-04-25,12,5096
2022-04-25,13,4732
2022-04-25,14,4663
2022-04-25,15,5112
2022-04-25,16,5604
2022-04-25,17,6528
2022-04-25,18,7032
2022-04-25,19,6740
2022-04-25,20,5507
2022-04-25,21,4074
2022-04-25,22,3064
2022-04-25,23,2239
2022-04-26,0,865
2022-04-26,1,552
2022-04-26,2,329
2022-04-26,3,268
2022-04-26,4,83
2022-04-26,5,298
2022-04-26,6,861
2022-04-26,7,2719
2022-04-26,8,5001
2022-04-26,9,3225
2022-04-26,10,3072
2022-04-26,11,3425
2022-04-26,12,4215
2022-04-26,13,4375
2022-04-26,14,4399
2022-04-26,15,4064
2022-04-26,16,4794
2022-04-26,17,6250
2022-04-26,18,6246
2022-04-26,19,5844
2022-04-26,20,4841
2022-04-26,21,3787
2022-04-26,22,2850
2022-04-26,23,2006
2022-04-27,0,846
2022-04-27,1,593
2022-04-27,2,270
2022-04-27,3,232
2022-04-27,4,74
2022-04-27,5,262
2022-04-27,6,816
2022-04-27,7,2840
2022-04-27,8,5269
2022-04-27,9,3369
2022-04-27,10,3289
2022-04-27,11,3872
2022-04-27,12,4970
2022-04-27,13,4620
2022-04-27,14,4824
2022-04-27,15,5296
2022-04-27,16,5807
2022-04-27,17,6950
2022-04-27,18,7515
2022-04-27,19,6514
2022-04-27,20,5583
2022-04-27,21,4284
2022-04-27,22,3142
2022-04-27,23,2242
2022-04-28,0,1033
2022-04-28,1,556
2022-04-28,2,309
2022-04-28,3,203
2022-04-28,4,47
2022-04-28,5,325
2022-04-28,6,922
2022-04-28,7,2878
2022-04-28,8,5145
2022-04-28,9,3458
2022-04-28,10,3296
2022-04-28,11,3793
2022-04-28,12,4855
2022-04-28,13,4905
2022-04-28,14,4939
2022-04-28,15,5023
2022-04-28,16,5528
2022-04-28,17,5750
2022-04-28,18,7167
2022-04-28,19,7674
2022-04-28,20,6631
2022-04-28,21,5651
2022-04-28,22,4553
2022-04-28,23,3477
2022-04-29,0,1865
2022-04-29,1,1127
2022-04-29,2,883
2022-04-29,3,465
2022-04-29,4,189
2022-04-29,5,570
2022-04-29,6,1009
2022-04-29,7,1505
2022-04-29,8,2676
2022-04-29,9,3311
2022-04-29,10,3719
2022-04-29,11,4891
2022-04-29,12,5813
2022-04-29,13,5717
2022-04-29,14,5756
2022-04-29,15,6099
2022-04-29,16,5880
2022-04-29,17,6215
2022-04-29,18,5925
2022-04-29,19,5439
2022-04-29,20,4750
2022-04-29,21,3847
2022-04-29,22,3028
2022-04-29,23,2466
2022-04-30,0,933
2022-04-30,1,671
2022-04-30,2,454
2022-04-30,3,304
2022-04-30,4,123
2022-04-30,5,515
2022-04-30,6,968
2022-04-30,7,1482
2022-04-30,8,2732
2022-04-30,9,3676
2022-04-30,10,4267
2022-04-30,11,5543
2022-04-30,12,5948
2022-04-30,13,6219
2022-04-30,14,6584
2022-04-30,15,5943
2022-04-30,16,5831
2022-04-30,17,6236
2022-04-30,18,6337
2022-04-30,19,6603
2022-04-30,20,5905
2022-04-30,21,5059
2022-04-30,22,3738
2022-04-30,23,3068
2022-05-01,0,1282
2022-05-01,1,962
2022-05-01,2,553
2022-05-01,3,441
2022-05-01,4,126
2022-05-01,5,616
2022-05-01,6,879
2022-05-01,7,1113
2022-05-01,8,2146
2022-05-01,9,3288
2022-05-01,10,4106
2022-05-01,11,5204
2022-05-01,12,5175
2022-05-01,13,5624
2022-05-01,14,5687
2022-05-01,15,5714
2022-05-01,16,5721
2022-05-01,17,5414
2022-05-01,18,5460
2022-05-01,19,4874
2022-05-01,20,4847
2022-05-01,21,3256
2022-05-01,22,2533
2022-05-01,23,2197
2022-05-02,0,892
2022-05-02,1,586
2022-05-02,2,369
2022-05-02,3,308
2022-05-02,4,81
2022-05-02,5,472
2022-05-02,6,859
2022-05-02,7,2293
2022-05-02,8,3730
2022-05-02,9,3146
2022-05-02,10,3676
2022-05-02,11,4658
2022-05-02,12,5313
2022-05-02,13,5641
2022-05-02,14,5321
2022-05-02,15,5442
2022-05-02,16,5557
2022-05-02,17,6156
2022-05-02,18,6709
2022-05-02,19,6624
2022-05-02,20,6033
2022-05-02,21,5020
2022-05-02,22,4103
2022-05-02,23,3098
2022-05-03,0,1260
2022-05-03,1,918
2022-05-03,2,605
2022-05-03,3,406
2022-05-03,4,268
2022-05-03,5,691
2022-05-03,6,835
2022-05-03,7,1315
2022-05-03,8,2298
2022-05-03,9,3114
2022-05-03,10,3880
2022-05-03,11,5320
2022-05-03,12,5651
2022-05-03,13,6065
2022-05-03,14,6108
2022-05-03,15,5835
2022-05-03,16,6296
2022-05-03,17,6411
2022-05-03,18,6499
2022-05-03,19,6721
2022-05-03,20,5980
2022-05-03,21,4795
2022-05-03,22,3795
2022-05-03,23,2755
2022-05-04,0,1427
2022-05-04,1,861
2022-05-04,2,587
2022-05-04,3,439
2022-05-04,4,119
2022-05-04,5,477
2022-05-04,6,897
2022-05-04,7,1232
2022-05-04,8,2351
2022-05-04,9,3105
2022-05-04,10,3495
2022-05-04,11,4684
2022-05-04,12,5603
2022-05-04,13,6254
2022-05-04,14,6083
2022-05-04,15,6257
2022-05-04,16,6183
2022-05-04,17,6545
2022-05-04,18,6940
2022-05-04,19,6072
2022-05-04,20,6020
2022-05-04,21,4905
2022-05-04,22,3820
2022-05-04,23,3087
2022-05-05,0,1419
2022-05-05,1,961
2022-05-05,2,574
2022-05-05,3,408
2022-05-05,4,114
2022-05-05,5,421
2022-05-05,6,720
2022-05-05,7,1060
2022-05-05,8,2084
2022-05-05,9,2899
2022-05-05,10,3373
2022-05-05,11,4852
2022-05-05,12,5498
2022-05-05,13,5655
2022-05-05,14,5921
2022-05-05,15,5973
2022-05-05,16,5948
2022-05-05,17,5551
2022-05-05,18,5930
2022-05-05,19,5690
2022-05-05,20,5134
2022-05-05,21,3767
2022-05-05,22,2831
2022-05-05,23,2006
2022-05-06,0,708
2022-05-06,1,425
2022-05-06,2,321
2022-05-06,3,238
2022-05-06,4,59
2022-05-06,5,344
2022-05-06,6,783
2022-05-06,7,2308
2022-05-06,8,3807
2022-05-06,9,3120
2022-05-06,10,3404
2022-05-06,11,4111
2022-05-06,12,4999
2022-05-06,13,5111
2022-05-06,14,5218
2022-05-06,15,5316
2022-05-06,16,5623
2022-05-06,17,6513
2022-05-06,18,6562
2022-05-06,19,6277
2022-05-06,20,5510
2022-05-06,21,4229
2022-05-06,22,3549
2022-05-06,23,2775
2022-05-07,0,1246
2022-05-07,1,848
2022-05-07,2,545
2022-05-07,3,339
2022-05-07,4,150
2022-05-07,5,309
2022-05-07,6,755
2022-05-07,7,1211
2022-05-07,8,2199
2022-05-07,9,2949
2022-05-07,10,3490
2022-05-07,11,4320
2022-05-07,12,4795
2022-05-07,13,5095
2022-05-07,14,5378
2022-05-07,15,5922
2022-05-07,16,6197
2022-05-07,17,6389
2022-05-07,18,6086
2022-05-07,19,6097
2022-05-07,20,5434
2022-05-07,21,4318
2022-05-07,22,3231
2022-05-07,23,2871
2022-05-08,0,1221
2022-05-08,1,823
2022-05-08,2,501
2022-05-08,3,351
2022-05-08,4,119
2022-05-08,5,522
2022-05-08,6,658
2022-05-08,7,1021
2022-05-08,8,2080
2022-05-08,9,2502
2022-05-08,10,3368
2022-05-08,11,4381
2022-05-08,12,5038
2022-05-08,13,5546
2022-05-08,14,5542
2022-05-08,15,5037
2022-05-08,16,5592
2022-05-08,17,5588
2022-05-08,18,5583
2022-05-08,19,5186
2022-05-08,20,4600
2022-05-08,21,3105
2022-05-08,22,2208
2022-05-08,23,1584
2022-05-09,0,589
2022-05-09,1,323
2022-05-09,2,175
2022-05-09,3,134
2022-05-09,4,41
2022-05-09,5,279
2022-05-09,6,844
2022-05-09,7,2735
2022-05-09,8,4723
2022-05-09,9,3061
2022-05-09,10,2651
2022-05-09,11,3025
2022-05-09,12,3892
2022-05-09,13,3871
2022-05-09,14,3975
2022-05-09,15,4130
2022-05-09,16,4664
2022-05-09,17,3941
2022-05-09,18,6568
2022-05-09,19,5935
2022-05-09,20,4574
2022-05-09,21,3306
2022-05-09,22,2438
2022-05-09,23,1842
2022-05-10,0,640
2022-05-10,1,434
2022-05-10,2,264
2022-05-10,3,201
2022-05-10,4,92
2022-05-10,5,259
2022-05-10,6,882
2022-05-10,7,2883
2022-05-10,8,5028
2022-05-10,9,3228
2022-05-10,10,2818
2022-05-10,11,3444
2022-05-10,12,4204
2022-05-10,13,4302
2022-05-10,14,3983
2022-05-10,15,4187
2022-05-10,16,4608
2022-05-10,17,4505
2022-05-10,18,6384
2022-05-10,19,5710
2022-05-10,20,4740
2022-05-10,21,3736
2022-05-10,22,2745
2022-05-10,23,1770
2022-05-11,0,844
2022-05-11,1,498
2022-05-11,2,293
2022-05-11,3,202
2022-05-11,4,90
2022-05-11,5,282
2022-05-11,6,795
2022-05-11,7,2508
2022-05-11,8,4276
2022-05-11,9,2968
2022-05-11,10,3121
2022-05-11,11,3476
2022-05-11,12,4083
2022-05-11,13,4012
2022-05-11,14,3858
2022-05-11,15,4008
2022-05-11,16,4653
2022-05-11,17,5758
2022-05-11,18,6361
2022-05-11,19,5726
2022-05-11,20,4685
2022-05-11,21,3366
2022-05-11,22,2410
2022-05-11,23,1779
2022-05-12,0,550
2022-05-12,1,460
2022-05-12,2,273
2022-05-12,3,165
2022-05-12,4,27
2022-05-12,5,216
2022-05-12,6,736
2022-05-12,7,2362
2022-05-12,8,4425
2022-05-12,9,2521
2022-05-12,10,2504
2022-05-12,11,2876
2022-05-12,12,3656
2022-05-12,13,3607
2022-05-12,14,3455
2022-05-12,15,3685
2022-05-12,16,4026
2022-05-12,17,5282
2022-05-12,18,5746
2022-05-12,19,5034
2022-05-12,20,4048
2022-05-12,21,3416
2022-05-12,22,2225
2022-05-12,23,1650
2022-05-13,0,627
2022-05-13,1,395
2022-05-13,2,219
2022-05-13,3,156
2022-05-13,4,31
2022-05-13,5,204
2022-05-13,6,605
2022-05-13,7,2288
2022-05-13,8,4286
2022-05-13,9,2849
2022-05-13,10,2480
2022-05-13,11,2957
2022-05-13,12,3762
2022-05-13,13,3863
2022-05-13,14,3784
2022-05-13,15,3864
2022-05-13,16,3924
2022-05-13,17,5244
2022-05-13,18,5945
2022-05-13,19,5411
2022-05-13,20,4887
2022-05-13,21,3886
2022-05-13,22,2768
2022-05-13,23,2733
2022-05-14,0,1130
2022-05-14,1,763
2022-05-14,2,485
2022-05-14,3,335
2022-05-14,4,37
2022-05-19,5,321
2022-05-19,6,718
2022-05-19,7,2567
2022-05-19,8,4919
2022-05-19,9,1446
2022-05-19,10,1382
2022-05-19,11,674
2022-05-19,12,1641
2022-05-19,13,738
2022-05-19,14,1216
2022-05-19,15,1832
2022-05-19,16,3091
2022-05-19,17,2459
2022-05-19,18,3198
2022-05-19,19,2188
2022-05-19,20,1192
2022-05-19,21,704
2022-05-19,22,398
2022-05-19,23,221
2022-05-20,0,141
2022-05-20,1,30
2022-05-26,18,2400
2022-05-26,19,4936
2022-05-26,20,4262
2022-05-26,21,3024
2022-05-26,22,2446
2022-05-26,23,1840
2022-05-27,0,634
2022-05-27,1,327
2022-05-27,2,300
2022-05-27,3,133
2022-05-27,4,81
2022-05-27,5,237
2022-05-27,6,563
2022-05-27,7,1886
2022-05-27,8,3700
2022-05-27,9,2533
2022-05-27,10,1988
2022-05-27,11,2301
2022-05-27,12,2754
2022-05-27,13,2495
2022-05-27,14,2784
2022-05-27,15,3106
2022-05-27,16,3642
2022-05-27,17,4648
2022-05-27,18,5172
2022-05-27,19,4782
2022-05-27,20,4709
2022-05-27,21,3709
2022-05-27,22,2896
2022-05-27,23,2455
