datetime,hour,amount
2022-05-23,4,51
2022-05-23,5,57
2022-05-23,6,36
2022-05-23,7,62
2022-05-23,8,69
2022-05-23,9,68
2022-05-23,10,66
2022-05-23,18,962
2022-05-23,19,2496
2022-05-23,20,1945
2022-05-23,21,25
2022-05-23,22,1163
2022-05-23,23,736
2022-05-24,0,288
2022-05-24,1,169
2022-05-24,2,163
2022-05-24,3,1
2022-05-24,4,66
2022-05-24,5,189
2022-05-24,6,35
2022-05-24,7,992
2022-05-24,8,2621
2022-05-24,9,1747
2022-05-24,10,1485
2022-05-24,11,1660
2022-05-24,12,2263
2022-05-24,13,1827
2022-05-24,14,1462
2022-05-24,15,1983
2022-05-24,16,2684
2022-05-24,17,2971
2022-05-24,18,1278
2022-05-24,19,2481
2022-05-24,20,325
2022-05-24,21,1312
2022-05-24,22,769
2022-05-24,23,313
2022-05-25,0,3
2022-05-25,1,79
2022-05-25,2,42
2022-05-25,3,89
2022-05-25,4,160
2022-05-25,5,493
2022-05-25,6,1011
2022-05-25,7,1576
2022-05-25,8,2108
2022-05-25,9,1466
2022-05-25,10,1127
2022-05-25,11,655
2022-05-25,12,2223
2022-05-25,13,1866
2022-05-25,14,1698
2022-05-25,15,38
2022-05-25,16,3341
2022-05-25,17,2666
2022-05-25,18,2537
2022-05-25,19,1946
2022-05-25,20,1401
2022-05-25,21,276
2022-05-25,22,674
2022-05-25,23,361
2022-05-26,0,187
2022-05-26,1,107
2022-05-26,2,99
2022-05-26,3,99
2022-05-26,4,251
2022-05-26,5,1492
2022-05-26,6,2539
2022-05-26,7,649
2022-05-26,8,1806
2022-05-26,9,2068
2022-05-26,10,1108
2022-05-26,11,2231
2022-05-26,12,2270
2022-05-26,13,1847
2022-05-26,14,1281
2022-05-26,15,3274
2022-05-26,16,714
2022-05-26,18,702
2022-05-26,20,3094
2022-05-26,21,2898
2022-05-26,22,2403
2022-05-26,23,1744
2022-05-27,0,773
2022-05-27,1,435
2022-05-27,2,336
2022-05-27,3,209
2022-05-27,4,149
2022-05-27,5,250
2022-05-27,6,749
2022-05-27,7,2142
2022-05-27,8,3637
2022-05-27,9,2595
2022-05-27,10,2205
2022-05-27,11,2407
2022-05-27,12,2529
2022-05-27,13,2419
2022-05-27,14,2572
2022-05-27,15,2820
2022-05-27,16,3290
2022-05-27,17,4215
2022-05-27,18,4868
2022-05-27,19,4280
2022-05-27,20,3932
2022-05-27,21,3417
2022-05-27,22,2603
2022-05-27,23,2214
2022-05-28,0,1165
2022-05-28,1,925
2022-05-28,2,473
2022-05-28,3,344
2022-05-28,4,243
2022-05-28,5,446
2022-05-28,6,611
2022-05-28,7,1115
2022-05-28,8,2024
2022-05-28,9,2393
2022-05-28,10,2777
2022-05-28,11,3358
2022-05-28,12,3789
2022-05-28,13,3724
2022-05-28,14,3513
2022-05-28,15,3467
2022-05-28,16,3670
2022-05-28,17,4134
2022-05-28,18,4286
2022-05-28,19,3997
2022-05-28,20,3787
2022-05-28,21,3164
2022-05-28,22,2433
2022-05-28,23,1993
2022-05-29,0,1090
2022-05-29,1,741
2022-05-29,2,501
2022-05-29,3,359
2022-05-29,4,220
2022-05-29,5,371
2022-05-29,6,546
2022-05-29,7,969
2022-05-29,8,1931
2022-05-29,9,2382
2022-05-29,10,2730
2022-05-29,11,2863
2022-05-29,12,3392
2022-05-29,13,3330
2022-05-29,14,3298
2022-05-29,15,3233
2022-05-29,16,3452
2022-05-29,17,3584
2022-05-29,18,3325
2022-05-29,19,3412
2022-05-29,20,2783
2022-05-29,21,2262
2022-05-29,22,1701
2022-05-29,23,1262
2022-05-30,0,581
2022-05-30,1,347
2022-05-30,2,198
2022-05-30,3,168
2022-05-30,4,109
2022-05-30,5,260
2022-05-30,6,790
2022-05-30,7,2310
2022-05-30,8,3944
2022-05-30,9,2664
2022-05-30,10,2563
2022-05-30,11,2692
2022-05-30,12,3242
2022-05-30,13,3054
2022-05-30,14,2938
2022-05-30,15,2872
2022-05-30,16,3002
2022-05-30,17,3883
2022-05-30,18,4205
2022-05-30,19,3754
2022-05-30,20,3177
2022-05-30,21,2446
2022-05-30,22,1635
2022-05-30,23,1207
2022-05-31,0,616
2022-05-31,1,402
2022-05-31,2,264
2022-05-31,3,134
2022-05-31,4,147
2022-05-31,5,298
2022-05-31,6,712
2022-05-31,7,2159
2022-05-31,8,3923
2022-05-31,9,2598
2022-05-31,10,2281
2022-05-31,11,2373
2022-05-31,12,2724
2022-05-31,13,2490
2022-05-31,14,2517
2022-05-31,15,2553
2022-05-31,16,2855
2022-05-31,17,3419
2022-05-31,18,3848
2022-05-31,19,3387
2022-05-31,20,2781
2022-05-31,21,2113
2022-05-31,22,1661
2022-05-31,23,1285
2022-06-01,0,485
2022-06-01,1,367
2022-06-01,2,248
2022-06-01,3,173
2022-06-01,4,116
2022-06-01,5,290
2022-06-01,6,805
2022-06-01,7,2190
2022-06-01,8,3835
2022-06-01,9,2903
2022-06-01,10,2429
2022-06-01,11,2492
2022-06-01,12,3248
2022-06-01,13,2924
2022-06-01,14,2717
2022-06-01,15,2845
2022-06-01,16,3062
2022-06-01,17,4109
2022-06-01,18,4495
2022-06-01,19,3682
2022-06-01,20,2995
2022-06-01,21,2695
2022-06-01,22,2026
2022-06-01,23,1666
2022-06-02,0,744
2022-06-02,1,452
2022-06-02,2,211
2022-06-02,3,155
2022-06-02,4,125
2022-06-02,5,281
2022-06-02,6,776
2022-06-02,7,2205
2022-06-02,8,4012
2022-06-02,9,2924
2022-06-02,10,2554
2022-06-02,11,2669
2022-06-02,12,3041
2022-06-02,13,2820
2022-06-02,14,2711
2022-06-02,15,2853
2022-06-02,16,3105
2022-06-02,17,3946
