datetime,hour,amount
2022-04-20,12,34
2022-04-20,17,26
2022-04-25,15,3575
2022-04-25,16,3792
2022-04-25,17,2355
2022-04-25,18,2174
2022-04-25,19,1986
2022-04-25,20,1352
2022-04-25,21,1041
2022-04-25,22,656
2022-04-25,23,396
2022-04-26,0,99
2022-04-26,1,60
2022-04-26,2,35
2022-04-26,3,37
2022-04-26,4,16
2022-04-26,5,48
2022-04-26,6,164
2022-04-26,7,1012
2022-04-26,8,2837
2022-04-26,9,1578
2022-04-26,10,2553
2022-04-26,11,3378
2022-04-26,12,4866
2022-04-26,13,4391
2022-04-26,14,4212
2022-04-26,15,4231
2022-04-26,16,2726
2022-04-26,17,1745
2022-04-26,18,2100
2022-04-26,19,1593
2022-04-26,20,1306
2022-04-26,21,936
2022-04-26,22,655
2022-04-26,23,449
2022-04-27,0,178
2022-04-27,1,73
2022-04-27,2,54
2022-04-27,3,23
2022-04-27,4,15
2022-04-27,5,42
2022-04-27,6,171
2022-04-27,7,1002
2022-04-27,8,2803
2022-04-27,9,1817
2022-04-27,10,2705
2022-04-27,11,3555
2022-04-27,12,5105
2022-04-27,13,4586
2022-04-27,14,4600
2022-04-27,15,2337
2022-04-27,16,2791
2022-04-27,17,2829
2022-04-27,18,2413
2022-04-27,19,2024
2022-04-27,20,1637
2022-04-27,21,1088
2022-04-27,22,826
2022-04-27,23,508
2022-04-28,0,206
2022-04-28,1,111
2022-04-28,2,65
2022-04-28,3,40
2022-04-28,4,14
2022-04-28,5,40
2022-04-28,6,183
2022-04-28,7,1010
2022-04-28,8,2894
2022-04-28,9,1895
2022-04-28,10,2990
2022-04-28,11,3684
2022-04-28,12,5334
2022-04-28,13,5270
2022-04-28,14,5081
2022-04-28,15,2671
2022-04-28,16,1788
2022-04-28,17,2391
2022-04-28,18,2583
2022-04-28,19,2165
2022-04-28,20,1867
2022-04-28,21,1310
2022-04-28,22,1061
2022-04-28,23,753
2022-04-29,0,341
2022-04-29,1,195
2022-04-29,2,92
2022-04-29,3,85
2022-04-29,4,31
2022-04-29,5,90
2022-04-29,6,152
2022-04-29,7,389
2022-04-29,8,1056
2022-04-29,9,1461
2022-04-29,10,3616
2022-04-29,11,5092
2022-04-29,12,6423
2022-04-29,13,7043
2022-04-29,14,7129
2022-04-29,15,6458
2022-04-29,16,2634
2022-04-29,17,1199
2022-04-29,18,1028
2022-04-29,19,809
2022-04-29,20,697
2022-04-29,21,504
2022-04-29,22,447
2022-04-29,23,243
2022-04-30,0,93
2022-04-30,1,47
2022-04-30,2,51
2022-04-30,3,29
2022-04-30,4,6
2022-04-30,5,47
2022-04-30,6,151
2022-04-30,7,312
2022-04-30,8,1180
2022-04-30,9,1883
2022-04-30,10,3964
2022-04-30,11,5609
2022-04-30,12,6647
2022-04-30,13,7302
2022-04-30,14,7891
2022-04-30,15,6085
2022-04-30,16,3176
2022-04-30,17,1780
2022-04-30,18,1609
2022-04-30,19,1384
2022-04-30,20,1166
2022-04-30,21,726
2022-04-30,22,760
2022-04-30,23,523
2022-05-01,0,174
2022-05-01,1,153
2022-05-01,2,65
2022-05-01,3,56
2022-05-01,4,22
2022-05-01,5,115
2022-05-01,6,159
2022-05-01,7,206
2022-05-01,8,444
2022-05-01,9,732
2022-05-01,10,958
2022-05-01,11,1465
2022-05-01,12,1597
2022-05-01,13,1509
2022-05-01,14,1396
2022-05-01,15,1419
2022-05-01,16,1382
2022-05-01,17,1348
2022-05-01,18,1106
2022-05-01,19,960
2022-05-01,20,891
