datetime,hour,amount
2022-04-20,12,35
2022-04-20,16,32
2022-04-20,17,41
2022-05-19,20,577
2022-05-19,21,809
2022-05-19,22,210
2022-05-19,23,88
2022-05-20,0,27
2022-05-20,1,8
2022-05-20,2,13
2022-05-20,3,11
2022-05-20,4,8
2022-05-20,5,9
2022-05-20,6,11
2022-05-20,7,106
2022-05-20,8,69
2022-05-20,9,58
2022-05-20,10,286
2022-05-20,12,1104
2022-05-20,13,5324
2022-05-20,14,5329
2022-05-20,15,5626
2022-05-20,16,6448
2022-05-20,17,7984
2022-05-20,18,8560
2022-05-20,19,7175
2022-05-20,20,6180
2022-05-20,21,5125
2022-05-20,22,3952
2022-05-20,23,2850
2022-05-21,0,1192
2022-05-21,1,787
2022-05-21,2,503
2022-05-21,3,359
2022-05-21,4,53
2022-05-21,5,439
2022-05-21,6,569
2022-05-21,7,755
2022-05-21,8,1730
2022-05-21,9,2748
2022-05-21,10,4245
2022-05-21,11,5745
2022-05-21,12,7134
2022-05-21,13,8051
2022-05-21,14,8342
2022-05-21,15,8196
2022-05-21,16,8343
2022-05-21,17,8476
2022-05-21,18,8053
2022-05-21,19,6727
2022-05-21,20,5263
2022-05-21,21,4447
2022-05-21,22,3227
2022-05-21,23,2592
2022-05-22,0,1169
2022-05-22,1,664
2022-05-22,2,428
2022-05-22,3,285
2022-05-22,4,274
2022-05-22,5,665
2022-05-22,6,655
2022-05-22,7,720
2022-05-22,8,1540
2022-05-22,9,2480
2022-05-22,10,3569
2022-05-22,11,4962
2022-05-22,12,6260
2022-05-22,13,6940
2022-05-22,14,7526
2022-05-22,15,8464
2022-05-22,16,7758
2022-05-22,17,6842
2022-05-22,18,6344
2022-05-22,19,4851
2022-05-22,20,3860
2022-05-22,21,2994
2022-05-22,22,1782
2022-05-22,23,1097
2022-05-23,0,372
2022-05-23,1,224
2022-05-23,2,162
2022-05-23,3,89
2022-05-23,4,116
2022-05-23,5,297
2022-05-23,6,558
2022-05-23,7,2003
2022-05-23,8,4501
2022-05-23,9,2377
2022-05-23,10,2818
2022-05-23,11,3551
2022-05-23,12,5088
2022-05-23,13,5161
2022-05-23,14,5027
2022-05-23,15,5399
2022-05-23,16,5418
2022-05-23,17,7179
2022-05-23,18,7423
2022-05-23,19,5815
2022-05-23,20,4065
2022-05-23,21,2960
2022-05-23,22,2345
2022-05-23,23,1498
2022-05-24,0,577
2022-05-24,1,333
2022-05-24,2,176
2022-05-24,3,170
2022-05-24,4,27
2022-05-24,5,287
2022-05-24,6,489
