datetime,hour,amount
2022-04-20,4,28
2022-04-20,18,51
2022-04-20,19,85
2022-04-20,20,64
2022-04-20,21,32
2022-04-25,17,2695
2022-04-25,18,3822
2022-04-25,19,3177
2022-04-25,20,1951
2022-04-25,21,1333
2022-04-25,22,869
2022-04-25,23,603
2022-04-26,0,268
2022-04-26,1,133
2022-04-26,2,124
2022-04-26,3,93
2022-04-26,4,34
2022-04-26,5,84
2022-04-26,6,242
2022-04-26,7,1210
2022-04-26,8,2824
2022-04-26,9,1681
2022-04-26,10,1746
2022-04-26,11,2030
2022-04-26,12,2708
2022-04-26,13,2415
2022-04-26,14,2298
2022-04-26,15,2373
2022-04-26,16,2433
2022-04-26,17,3288
2022-04-26,18,3228
2022-04-26,19,2353
2022-04-26,20,1802
2022-04-26,21,1284
2022-04-26,22,754
2022-04-26,23,510
2022-04-27,0,214
2022-04-27,1,90
2022-04-27,2,71
2022-04-27,3,46
2022-04-27,4,16
2022-04-27,5,74
2022-04-27,6,208
2022-04-27,7,1133
2022-04-27,8,2821
2022-04-27,9,1864
2022-04-27,10,1681
2022-04-27,11,2102
2022-04-27,12,2829
2022-04-27,13,2685
2022-04-27,14,2517
2022-04-27,15,2700
2022-04-27,16,2728
2022-04-27,17,3692
2022-04-27,18,3728
2022-04-27,19,2889
2022-04-27,20,2075
2022-04-27,21,1317
2022-04-27,22,1110
2022-04-27,23,654
2022-04-28,0,310
2022-04-28,1,139
2022-04-28,2,77
2022-04-28,3,60
2022-04-28,4,45
2022-04-28,5,68
2022-04-28,6,226
2022-04-28,7,1131
2022-04-28,8,2885
2022-04-28,9,1998
2022-04-28,10,2128
2022-04-28,11,2237
2022-04-28,12,3194
2022-04-28,13,2860
2022-04-28,14,2729
2022-04-28,15,2958
2022-04-28,16,3295
2022-04-28,17,3926
2022-04-28,18,4375
2022-04-28,19,3308
2022-04-28,20,2530
2022-04-28,21,1868
2022-04-28,22,1387
2022-04-28,23,1037
2022-04-29,0,427
2022-04-29,1,294
2022-04-29,2,181
2022-04-29,3,106
2022-04-29,4,41
2022-04-29,5,142
2022-04-29,6,236
2022-04-29,7,364
2022-04-29,8,885
2022-04-29,9,1319
2022-04-29,10,1962
2022-04-29,11,2638
2022-04-29,12,3223
2022-04-29,13,3674
2022-04-29,14,3611
2022-04-29,15,3580
2022-04-29,16,3460
2022-04-29,17,3214
2022-04-29,18,2917
2022-04-29,19,2382
2022-04-29,20,1749
2022-04-29,21,1284
2022-04-29,22,811
2022-04-29,23,670
2022-04-30,0,267
2022-04-30,1,158
2022-04-30,2,143
2022-04-30,3,89
2022-04-30,4,31
2022-04-30,5,147
2022-04-30,6,213
2022-04-30,7,332
2022-04-30,8,1027
2022-04-30,9,1550
2022-04-30,10,2287
2022-04-30,11,2881
2022-04-30,12,3524
2022-04-30,13,3802
2022-04-30,14,3946
2022-04-30,15,4073
2022-04-30,16,3727
2022-04-30,17,3829
2022-04-30,18,3227
2022-04-30,19,2709
2022-04-30,20,2055
2022-04-30,21,1524
2022-04-30,22,1146
2022-04-30,23,800
2022-05-01,0,365
2022-05-01,1,286
2022-05-01,2,181
2022-05-01,3,144
2022-05-01,4,40
2022-05-01,5,160
2022-05-01,6,249
2022-05-01,7,334
2022-05-01,8,822
2022-05-01,9,1339
2022-05-01,10,1940
2022-05-01,11,2713
2022-05-01,12,3081
2022-05-01,13,3272
2022-05-01,14,3379
2022-05-01,15,3358
2022-05-01,16,2967
2022-05-01,17,2894
2022-05-01,18,2585
2022-05-01,19,2290
2022-05-01,20,1771
2022-05-01,21,1111
2022-05-01,22,783
2022-05-01,23,556
2022-05-02,0,248
2022-05-02,1,157
2022-05-02,2,113
2022-05-02,3,92
2022-05-02,4,37
2022-05-02,5,105
2022-05-02,6,213
2022-05-02,7,834
2022-05-02,8,1859
2022-05-02,9,1774
2022-05-02,10,2107
2022-05-02,11,2760
2022-05-02,12,3505
2022-05-02,13,3405
2022-05-02,14,3501
2022-05-02,15,3574
2022-05-02,16,3597
2022-05-02,17,3946
2022-05-02,18,3976
2022-05-02,19,2843
2022-05-02,20,2241
2022-05-02,21,1510
2022-05-02,22,1108
2022-05-02,23,823
2022-05-03,0,322
2022-05-03,1,209
2022-05-03,2,175
2022-05-03,3,113
2022-05-03,4,31
2022-05-03,5,99
2022-05-03,6,205
2022-05-03,7,320
2022-05-03,8,734
2022-05-03,9,1201
2022-05-03,10,1916
2022-05-03,11,2728
2022-05-03,12,3418
