datetime,hour,amount
2022-06-04,17,5891
2022-06-04,18,6623
2022-06-04,19,6683
2022-06-04,20,5479
2022-06-04,21,4390
2022-06-04,22,3003
2022-06-04,23,2498
2022-06-05,0,1294
2022-06-05,1,1013
2022-06-05,2,810
2022-06-05,3,370
2022-06-05,4,294
2022-06-05,5,779
2022-06-05,6,539
2022-06-05,7,1814
2022-06-05,8,2908
2022-06-05,9,4108
2022-06-05,10,45
2022-06-05,11,5718
2022-06-05,12,75
2022-06-05,13,5975
2022-06-05,14,5828
2022-06-05,15,64
2022-06-05,16,6129
2022-06-05,17,6187
2022-06-05,18,5241
2022-06-05,19,4738
2022-06-05,20,3784
2022-06-05,21,33
2022-06-05,22,1733
2022-06-05,23,1225
2022-06-06,0,534
2022-06-06,1,5
2022-06-06,2,272
2022-06-06,3,195
2022-06-06,4,195
2022-06-06,5,7
2022-06-06,6,1356
2022-06-06,7,4605
2022-06-06,8,6394
2022-06-06,9,4436
2022-06-06,10,3375
2022-06-06,11,4098
2022-06-06,12,4598
2022-06-06,13,4372
2022-06-06,14,4015
2022-06-06,15,4529
2022-06-06,16,4641
2022-06-06,17,6506
2022-06-06,18,6389
2022-06-06,19,22
2022-06-06,20,44
2022-06-06,21,2676
2022-06-06,22,1689
2022-06-06,23,873
2022-06-07,0,582
2022-06-07,1,384
2022-06-07,2,4
2022-06-07,3,187
2022-06-07,4,172
2022-06-07,5,321
2022-06-07,6,1301
2022-06-07,7,12
2022-06-07,8,6182
2022-06-07,9,4567
2022-06-07,10,3247
2022-06-07,11,36
2022-06-07,12,158
2022-06-07,13,3880
2022-06-07,14,3780
2022-06-07,15,4069
2022-06-07,16,4920
2022-06-07,17,5786
2022-06-07,18,6571
2022-06-07,19,5355
2022-06-07,20,3957
2022-06-07,21,2974
2022-06-07,22,1969
2022-06-07,23,1325
2022-06-08,0,610
2022-06-08,1,484
2022-06-08,2,309
2022-06-08,3,134
2022-06-08,4,196
2022-06-08,5,99
2022-06-08,6,1480
2022-06-08,7,4055
2022-06-08,8,3583
2022-06-08,9,4246
2022-06-08,10,3968
2022-06-08,11,2323
2022-06-08,12,873
2022-06-08,13,3742
2022-06-08,14,4531
2022-06-08,15,3382
2022-06-08,16,6135
2022-06-08,17,7295
2022-06-08,18,5408
2022-06-08,19,3870
2022-06-08,20,3863
2022-06-08,21,2261
2022-06-08,22,1041
2022-06-08,23,711
2022-06-09,0,489
2022-06-09,1,389
2022-06-09,2,106
2022-06-09,3,164
2022-06-09,5,1113
2022-06-09,6,3642
2022-06-09,7,5964
2022-06-09,8,4922
2022-06-09,9,3025
2022-06-09,10,2518
2022-06-09,12,4843
2022-06-09,13,2911
2022-06-09,14,4637
2022-06-09,15,5949
2022-06-09,16,7116
2022-06-09,17,2474
2022-06-09,18,5410
2022-06-09,19,3948
2022-06-09,20,1683
2022-06-09,21,1284
2022-06-09,23,449
2022-06-10,0,268
2022-06-10,1,272
2022-06-10,2,227
2022-06-10,3,344
2022-06-10,4,660
2022-06-10,5,1352
2022-06-10,6,7454
2022-06-10,7,4185
2022-06-10,8,785
2022-06-10,9,2105
2022-06-10,10,1275
2022-06-10,11,4930
2022-06-10,12,4472
2022-06-10,13,4591
2022-06-10,14,4391
2022-06-10,15,1274
2022-06-10,16,8288
2022-06-10,17,5520
2022-06-10,18,2978
2022-06-10,19,4780
2022-06-10,20,3044
2022-06-10,21,1356
2022-06-10,22,904
2022-06-10,23,838
2022-06-11,0,503
2022-06-11,1,245
2022-06-11,2,482
2022-06-11,3,409
2022-06-11,4,1842
2022-06-11,5,2739
2022-06-11,6,2431
2022-06-11,7,4568
2022-06-11,8,5725
2022-06-11,9,1094
2022-06-11,10,3644
2022-06-11,11,6030
2022-06-11,12,6464
2022-06-11,13,881
2022-06-11,14,5916
2022-06-11,15,482
2022-06-11,16,4669
2022-06-11,17,1554
2022-06-11,20,524
2022-06-11,21,3260
2022-06-11,22,1235
2022-06-11,23,2246
2022-06-12,0,870
2022-06-12,1,769
2022-06-12,2,655
2022-06-12,3,477
2022-06-12,4,353
2022-06-12,5,302
2022-06-12,6,1109
2022-06-12,7,2346
2022-06-12,8,2734
2022-06-12,9,2175
2022-06-12,10,911
2022-06-12,11,4475
2022-06-12,12,5324
2022-06-12,13,4098
2022-06-12,14,5157
2022-06-12,15,1703
2022-06-12,16,3689
2022-06-12,17,4657
2022-06-12,18,4652
2022-06-12,19,4339
2022-06-12,20,1182
2022-06-12,21,1477
2022-06-12,22,660
2022-06-12,23,641
2022-06-13,0,386
2022-06-13,1,224
2022-06-13,2,40
2022-06-13,3,374
2022-06-13,4,456
2022-06-13,5,1975
2022-06-13,6,6065
2022-06-13,7,5308
2022-06-13,8,3943
2022-06-13,9,2987
2022-06-13,10,238
2022-06-13,11,2389
2022-06-13,12,2853
2022-06-13,13,4951
2022-06-13,14,3969
2022-06-13,15,6651
2022-06-13,16,7379
2022-06-13,17,3471
2022-06-13,18,2408
2022-06-13,19,3305
2022-06-13,20,2322
2022-06-13,21,794
2022-06-13,22,545
2022-06-13,23,7
2022-06-14,0,185
2022-06-14,1,173
2022-06-14,2,263
2022-06-14,3,529
2022-06-14,4,1625
2022-06-14,5,2009
2022-06-14,6,5132
2022-06-14,7,3646
2022-06-14,8,2199
2022-06-14,9,2354
2022-06-14,10,1710
2022-06-14,11,3455
2022-06-14,12,3996
2022-06-14,13,4804
2022-06-14,14,6829
2022-06-14,15,83
2022-06-14,16,3270
2022-06-14,17,2207
2022-06-14,18,3431
2022-06-14,19,1477
2022-06-14,20,973
2022-06-14,21,770
