datetime,hour,amount
2022-04-20,5,29
2022-04-20,17,29
2022-04-20,18,60
2022-04-20,19,82
2022-04-20,20,43
2022-04-20,21,32
2022-04-22,13,566
2022-04-22,14,1354
2022-04-22,15,1446
2022-04-22,16,1473
2022-04-22,17,2317
2022-04-22,18,2773
2022-04-22,19,2184
2022-04-22,20,1655
2022-04-22,21,1313
2022-04-22,22,882
2022-04-22,23,652
2022-04-23,0,296
2022-04-23,1,176
2022-04-23,2,110
2022-04-23,3,77
2022-04-23,4,25
2022-04-23,5,99
2022-04-23,6,158
2022-04-23,7,395
2022-04-23,8,665
2022-04-23,9,890
2022-04-23,10,1055
2022-04-23,11,1294
2022-04-23,12,1390
2022-04-23,13,1528
2022-04-23,14,1561
2022-04-23,15,1561
2022-04-23,16,1664
2022-04-23,17,1612
2022-04-23,18,1529
2022-04-23,19,1447
2022-04-23,20,1026
2022-04-23,21,928
2022-04-23,22,560
2022-04-23,23,345
2022-04-24,0,240
2022-04-24,1,146
2022-04-24,2,118
2022-04-24,3,69
2022-04-24,4,31
2022-04-24,5,88
2022-04-24,6,156
2022-04-24,7,257
2022-04-24,8,538
2022-04-24,9,785
2022-04-24,10,892
2022-04-24,11,1114
2022-04-24,12,1189
2022-04-24,13,1388
2022-04-24,14,1365
2022-04-24,15,1346
2022-04-24,16,1314
2022-04-24,17,1258
2022-04-24,18,1233
2022-04-24,19,1162
2022-04-24,20,764
2022-04-24,21,628
2022-04-24,22,326
2022-04-24,23,221
2022-04-25,0,128
2022-04-25,1,77
2022-04-25,2,48
2022-04-25,3,43
2022-04-25,4,7
2022-04-25,5,61
2022-04-25,6,277
2022-04-25,7,1205
2022-04-25,8,2045
2022-04-25,9,943
2022-04-25,10,882
2022-04-25,11,1204
2022-04-25,12,1657
2022-04-25,13,1360
2022-04-25,14,1246
2022-04-25,15,1328
2022-04-25,16,1139
2022-04-25,17,1988
2022-04-25,18,2341
2022-04-25,19,1693
2022-04-25,20,1285
2022-04-25,21,803
2022-04-25,22,492
2022-04-25,23,285
2022-04-26,0,95
2022-04-26,1,76
2022-04-26,2,36
2022-04-26,3,50
2022-04-26,4,16
2022-04-26,5,6
2022-04-26,6,17
2022-04-26,7,157
2022-04-26,8,1586
2022-04-26,9,1071
2022-04-26,10,1015
2022-04-26,11,1138
2022-04-26,12,1605
2022-04-26,13,1233
2022-04-26,14,1089
2022-04-26,15,956
2022-04-26,16,1029
2022-04-26,17,1465
2022-04-26,18,1955
2022-04-26,19,1393
2022-04-26,20,947
2022-04-26,21,764
2022-04-26,22,474
2022-04-26,23,296
2022-04-27,0,80
2022-04-27,1,62
2022-04-27,2,34
2022-04-27,3,25
2022-04-27,4,9
2022-04-27,5,34
2022-04-27,6,200
2022-04-27,7,1105
2022-04-27,8,1826
2022-04-27,9,991
2022-04-27,10,964
2022-04-27,11,1145
2022-04-27,12,1553
2022-04-27,13,1303
2022-04-27,14,1174
2022-04-27,15,1102
2022-04-27,16,1260
2022-04-27,17,1861
2022-04-27,18,2218
2022-04-27,19,1593
2022-04-27,20,1167
2022-04-27,21,935
2022-04-27,22,572
2022-04-27,23,364
2022-04-28,0,148
2022-04-28,1,71
2022-04-28,2,38
2022-04-28,3,44
2022-04-28,4,13
2022-04-28,5,43
2022-04-28,6,237
2022-04-28,7,1342
2022-04-28,8,1802
2022-04-28,9,1210
2022-04-28,10,1024
2022-04-28,11,1315
2022-04-28,12,1657
2022-04-28,13,1365
2022-04-28,14,1382
2022-04-28,15,1360
2022-04-28,16,1246
2022-04-28,17,2085
2022-04-28,18,2565
2022-04-28,19,2001
2022-04-28,20,1452
2022-04-28,21,1036
2022-04-28,22,688
2022-04-28,23,515
2022-04-29,0,315
2022-04-29,1,229
2022-04-29,2,111
2022-04-29,3,57
2022-04-29,4,12
2022-04-29,5,52
2022-04-29,6,105
2022-04-29,7,267
2022-04-29,8,562
2022-04-29,9,700
2022-04-29,10,884
2022-04-29,11,1193
2022-04-29,12,1280
2022-04-29,13,1192
2022-04-29,14,994
2022-04-29,15,1067
2022-04-29,16,1231
2022-04-29,17,1058
2022-04-29,18,918
2022-04-29,19,861
2022-04-29,20,727
2022-04-29,21,362
2022-04-29,22,190
2022-04-29,23,132
2022-04-30,0,79
2022-04-30,1,47
2022-04-30,2,56
2022-04-30,3,24
2022-04-30,4,8
2022-04-30,5,49
2022-04-30,6,121
2022-04-30,7,284
2022-04-30,8,543
2022-04-30,9,843
2022-04-30,10,868
2022-04-30,11,1237
2022-04-30,12,1259
2022-04-30,13,1659
2022-04-30,14,1724
2022-04-30,15,1514
2022-04-30,16,1495
2022-04-30,17,1657
2022-04-30,18,1556
2022-04-30,19,1390
2022-04-30,20,877
2022-04-30,21,683
2022-04-30,22,374
2022-04-30,23,381
2022-05-01,0,157
2022-05-01,1,133
2022-05-01,2,67
2022-05-01,3,53
2022-05-01,4,11
2022-05-01,5,58
2022-05-01,6,109
2022-05-01,7,199
2022-05-01,8,476
2022-05-01,9,631
2022-05-01,10,774
2022-05-01,11,949
2022-05-01,12,876
2022-05-01,13,895
2022-05-01,14,960
2022-05-01,15,833
2022-05-01,16,945
2022-05-01,17,881
2022-05-01,18,871
2022-05-01,19,771
2022-05-01,20,575
2022-05-01,21,432
2022-05-01,22,218
2022-05-01,23,200
2022-05-02,0,98
2022-05-02,1,54
2022-05-02,2,50
2022-05-02,3,47
2022-05-02,4,11
2022-05-02,5,60
2022-05-02,6,168
2022-05-02,7,728
2022-05-02,8,1031
2022-05-02,9,760
2022-05-02,10,938
2022-05-02,11,1243
2022-05-02,12,1622
2022-05-02,13,1479
2022-05-02,14,1375
2022-05-02,15,1300
2022-05-02,16,1335
2022-05-02,17,1716
2022-05-02,18,2288
2022-05-02,19,1543
2022-05-02,20,1169
2022-05-02,21,850
2022-05-02,22,495
2022-05-02,23,353
2022-05-03,0,164
2022-05-03,1,93
2022-05-03,2,70
2022-05-03,3,61
2022-05-03,4,13
2022-05-03,5,50
2022-05-03,6,117
2022-05-03,7,234
2022-05-03,8,467
2022-05-03,9,694
2022-05-03,10,902
2022-05-03,11,1328
2022-05-03,12,1346
2022-05-03,13,1373
2022-05-03,14,1464
2022-05-03,15,1464
2022-05-03,16,1522
2022-05-03,17,1723
2022-05-03,18,1644
2022-05-03,19,1409
2022-05-03,20,1031
2022-05-03,21,780
2022-05-03,22,485
2022-05-03,23,328
2022-05-04,0,199
2022-05-04,1,104
2022-05-04,2,69
2022-05-04,3,49
2022-05-04,4,20
2022-05-04,5,45
2022-05-04,6,123
2022-05-04,7,221
2022-05-04,8,480
2022-05-04,9,634
2022-05-04,10,781
2022-05-04,11,1425
2022-05-04,12,1385
2022-05-04,13,1534
2022-05-04,14,1413
2022-05-04,15,1387
2022-05-04,16,1597
2022-05-04,17,1795
2022-05-04,18,1785
2022-05-04,19,1555
2022-05-04,20,1141
2022-05-04,21,879
2022-05-04,22,486
2022-05-04,23,365
2022-05-05,0,166
2022-05-05,1,110
2022-05-05,2,95
2022-05-05,3,49
2022-05-05,4,21
2022-05-05,5,48
2022-05-05,6,123
2022-05-05,7,252
2022-05-05,8,485
2022-05-05,9,593
2022-05-05,10,766
2022-05-05,11,913
2022-05-05,12,1182
2022-05-05,13,1265
2022-05-05,14,1188
2022-05-05,15,1225
2022-05-05,16,1292
2022-05-05,17,1358
2022-05-05,18,1116
2022-05-05,19,1030
2022-05-05,20,935
2022-05-05,21,619
2022-05-05,22,329
2022-05-05,23,242
2022-05-06,0,113
2022-05-06,1,73
2022-05-06,2,54
2022-05-06,3,38
2022-05-06,4,14
2022-05-06,5,41
2022-05-06,6,227
2022-05-06,7,758
2022-05-06,8,1218
2022-05-06,9,743
2022-05-06,10,835
2022-05-06,11,1172
2022-05-06,12,1489
2022-05-06,13,1269
2022-05-06,14,1287
2022-05-06,15,1136
2022-05-06,16,1167
2022-05-06,17,1753
2022-05-06,18,1879
2022-05-06,19,1469
2022-05-06,20,1073
2022-05-06,21,822
2022-05-06,22,501
2022-05-06,23,305
2022-05-07,0,159
2022-05-07,1,105
2022-05-07,2,73
2022-05-07,3,45
2022-05-07,4,17
2022-05-07,5,52
2022-05-07,6,112
2022-05-07,7,262
2022-05-07,8,566
2022-05-07,9,841
2022-05-07,10,680
2022-05-07,11,1105
2022-05-07,12,1172
2022-05-07,13,1206
2022-05-07,14,1159
2022-05-07,15,1355
2022-05-07,16,1243
2022-05-07,17,1444
2022-05-07,18,1376
2022-05-07,19,1182
2022-05-07,20,981
2022-05-07,21,769
2022-05-07,22,409
2022-05-07,23,317
2022-05-08,0,213
2022-05-08,1,122
2022-05-08,2,86
2022-05-08,3,49
2022-05-08,4,46
2022-05-08,5,88
2022-05-08,6,100
2022-05-08,7,293
2022-05-08,8,510
2022-05-08,9,637
2022-05-08,10,779
2022-05-08,11,1046
2022-05-08,12,1011
2022-05-08,13,1114
2022-05-08,14,1256
2022-05-08,15,1363
2022-05-08,16,1289
2022-05-08,17,1406
2022-05-08,18,1153
2022-05-08,19,1171
2022-05-08,20,852
2022-05-08,21,573
2022-05-08,22,291
2022-05-08,23,184
2022-05-09,0,92
2022-05-09,1,63
2022-05-09,2,29
2022-05-09,3,11
2022-05-09,4,12
2022-05-09,5,45
2022-05-09,6,272
2022-05-09,7,1235
2022-05-09,8,1897
2022-05-09,9,839
2022-05-09,10,785
2022-05-09,11,1065
2022-05-09,12,1291
2022-05-09,13,1050
2022-05-09,14,1121
2022-05-09,15,826
2022-05-09,16,1060
2022-05-09,17,1621
2022-05-09,18,2243
2022-05-09,19,1626
2022-05-09,20,1084
2022-05-09,21,695
2022-05-09,22,351
2022-05-09,23,246
2022-05-10,0,71
2022-05-10,1,54
2022-05-10,2,31
2022-05-10,3,29
2022-05-10,4,11
2022-05-10,5,52
2022-05-10,6,247
2022-05-10,7,1165
2022-05-10,8,1812
2022-05-10,9,943
2022-05-10,10,1063
2022-05-10,11,1144
2022-05-10,12,1443
2022-05-10,13,1263
2022-05-10,14,1106
2022-05-10,15,1057
2022-05-10,16,1116
2022-05-10,17,1892
2022-05-10,18,2127
2022-05-10,19,1609
2022-05-10,20,1144
2022-05-10,21,875
2022-05-10,22,511
2022-05-10,23,213
2022-05-11,0,119
2022-05-11,1,46
2022-05-11,2,52
2022-05-11,3,33
2022-05-11,4,35
2022-05-11,5,61
2022-05-11,6,259
2022-05-11,7,1011
2022-05-11,8,1715
2022-05-11,9,878
2022-05-11,10,860
2022-05-11,11,909
2022-05-11,12,1307
2022-05-11,13,1172
2022-05-11,14,1184
2022-05-11,15,1013
2022-05-11,16,963
2022-05-11,17,1675
2022-05-11,18,1986
2022-05-11,19,1473
2022-05-11,20,966
2022-05-11,21,751
2022-05-11,22,456
2022-05-11,23,223
2022-05-12,0,113
2022-05-12,1,55
2022-05-12,2,48
2022-05-12,3,32
2022-05-12,4,4
2022-05-12,5,48
2022-05-12,6,243
2022-05-12,7,1033
2022-05-12,8,1599
2022-05-12,9,965
2022-05-12,10,928
2022-05-12,11,958
2022-05-12,12,1314
2022-05-12,13,1191
2022-05-12,14,1094
2022-05-12,15,951
2022-05-12,16,966
2022-05-12,17,1683
2022-05-12,18,2184
2022-05-12,19,1630
2022-05-12,20,1212
2022-05-12,21,825
2022-05-12,22,496
2022-05-12,23,303
2022-05-13,0,95
2022-05-13,1,77
2022-05-13,2,46
2022-05-13,3,29
2022-05-13,4,5
2022-05-13,5,52
2022-05-13,6,185
2022-05-13,7,970
2022-05-13,8,1648
2022-05-13,9,833
2022-05-13,10,882
2022-05-13,11,1013
2022-05-13,12,1223
2022-05-13,13,1142
2022-05-13,14,960
2022-05-13,15,647
2022-05-13,16,828
2022-05-13,17,1424
2022-05-13,18,2086
2022-05-13,19,1435
2022-05-13,20,951
2022-05-13,21,808
2022-05-13,22,459
2022-05-13,23,308
2022-05-14,0,180
2022-05-14,1,105
2022-05-14,2,93
2022-05-14,3,55
2022-05-14,4,4
2022-05-14,5,34
2022-05-14,6,102
2022-05-14,7,352
2022-05-14,8,725
2022-05-14,9,801
2022-05-14,10,909
2022-05-14,11,1121
2022-05-14,12,1279
2022-05-14,13,1589
2022-05-14,14,1564
2022-05-14,15,1521
2022-05-14,16,1755
2022-05-14,17,1760
2022-05-14,18,1776
2022-05-14,19,1348
2022-05-14,20,1117
