datetime,hour,amount
2022-04-20,11,45
2022-04-20,12,33
2022-04-20,19,37
2022-04-20,20,325
2022-04-25,18,1224
2022-04-25,19,2921
2022-04-25,20,1868
2022-04-25,21,977
2022-04-25,22,727
2022-04-25,23,408
2022-04-26,0,148
2022-04-26,1,109
2022-04-26,2,63
2022-04-26,3,65
2022-04-26,4,32
2022-04-26,5,104
2022-04-26,6,250
2022-04-26,7,1091
2022-04-26,8,2316
2022-04-26,9,2055
2022-04-26,10,1604
2022-04-26,11,1656
2022-04-26,12,2025
2022-04-26,13,1838
2022-04-26,14,1688
2022-04-26,15,1643
2022-04-26,16,1520
2022-04-26,17,2125
2022-04-26,18,2144
2022-04-26,19,2028
2022-04-26,20,1615
2022-04-26,21,967
2022-04-26,22,684
2022-04-26,23,492
2022-04-27,0,152
2022-04-27,1,109
2022-04-27,2,96
2022-04-27,3,44
2022-04-27,4,36
2022-04-27,5,132
2022-04-27,6,242
2022-04-27,7,1039
2022-04-27,8,2068
2022-04-27,9,1986
2022-04-27,10,1677
2022-04-27,11,1602
2022-04-27,12,2235
2022-04-27,13,1988
2022-04-27,14,1832
2022-04-27,15,1823
2022-04-27,16,1895
2022-04-27,17,2518
2022-04-27,18,2638
2022-04-27,19,2410
2022-04-27,20,1747
2022-04-27,21,1248
2022-04-27,22,739
2022-04-27,23,420
2022-04-28,0,179
2022-04-28,1,140
2022-04-28,2,66
2022-04-28,3,47
2022-04-28,4,49
2022-04-28,5,129
2022-04-28,6,288
2022-04-28,7,1139
2022-04-28,8,2336
2022-04-28,9,2129
2022-04-28,10,1757
2022-04-28,11,1938
2022-04-28,12,2536
2022-04-28,13,2219
2022-04-28,14,2049
2022-04-28,15,2036
2022-04-28,16,2240
2022-04-28,17,2668
2022-04-28,18,2972
2022-04-28,19,2800
2022-04-28,20,2261
2022-04-28,21,1580
2022-04-28,22,1105
2022-04-28,23,881
2022-04-29,0,514
2022-04-29,1,259
2022-04-29,2,164
2022-04-29,3,132
2022-04-29,4,76
2022-04-29,5,243
2022-04-29,6,237
2022-04-29,7,495
2022-04-29,8,937
2022-04-29,9,1619
2022-04-29,10,1638
2022-04-29,11,1915
2022-04-29,12,1903
2022-04-29,13,1917
2022-04-29,14,1919
2022-04-29,15,1734
2022-04-29,16,1848
2022-04-29,17,1644
2022-04-29,18,1632
2022-04-29,19,1909
2022-04-29,20,1688
2022-04-29,21,1119
2022-04-29,22,617
2022-04-29,23,552
2022-04-30,0,195
2022-04-30,1,154
2022-04-30,2,118
2022-04-30,3,92
2022-04-30,4,46
2022-04-30,5,167
2022-04-30,6,262
2022-04-30,7,404
2022-04-30,8,945
2022-04-30,9,1750
2022-04-30,10,1731
2022-04-30,11,1900
2022-04-30,12,2102
2022-04-30,13,2323
2022-04-30,14,2483
2022-04-30,15,2309
2022-04-30,16,2224
2022-04-30,17,2069
2022-04-30,18,2170
2022-04-30,19,2408
2022-04-30,20,2074
2022-04-30,21,1201
2022-04-30,22,1002
2022-04-30,23,810
2022-05-01,0,311
2022-05-01,1,256
2022-05-01,2,163
2022-05-01,3,172
2022-05-01,4,112
2022-05-01,5,226
2022-05-01,6,237
2022-05-01,7,363
2022-05-01,8,940
2022-05-01,9,1471
2022-05-01,10,1560
2022-05-01,11,1564
2022-05-01,12,1772
2022-05-01,13,1610
2022-05-01,14,1710
2022-05-01,15,1576
2022-05-01,16,1483
2022-05-01,17,1374
2022-05-01,18,1476
2022-05-01,19,1590
2022-05-01,20,1627
2022-05-01,21,921
2022-05-01,22,532
2022-05-01,23,457
2022-05-02,0,196
2022-05-02,1,134
2022-05-02,2,99
2022-05-02,3,73
2022-05-02,4,71
2022-05-02,5,133
2022-05-02,6,233
2022-05-02,7,727
2022-05-02,8,1550
2022-05-02,9,1713
2022-05-02,10,1625
2022-05-02,11,1810
2022-05-02,12,2442
2022-05-02,13,2254
2022-05-02,14,2118
2022-05-02,15,2039
2022-05-02,16,2213
2022-05-02,17,2496
2022-05-02,18,2348
2022-05-02,19,2287
2022-05-02,20,2092
2022-05-02,21,1409
2022-05-02,22,960
2022-05-02,23,697
2022-05-03,0,294
2022-05-03,1,193
2022-05-03,2,145
2022-05-03,3,85
2022-05-03,4,67
2022-05-03,5,173
2022-05-03,6,270
2022-05-03,7,403
2022-05-03,8,976
2022-05-03,9,1384
2022-05-03,10,1618
2022-05-03,11,1691
2022-05-03,12,1747
2022-05-03,13,2084
2022-05-03,14,2304
2022-05-03,15,2274
2022-05-03,16,2295
2022-05-03,17,2123
2022-05-03,18,2349
2022-05-03,19,2382
2022-05-03,20,2035
2022-05-03,21,1441
2022-05-03,22,880
2022-05-03,23,751
2022-05-04,0,325
2022-05-04,1,172
2022-05-04,2,128
2022-05-04,3,103
2022-05-04,4,109
2022-05-04,5,215
2022-05-04,6,209
2022-05-04,7,403
2022-05-04,8,853
2022-05-04,9,1464
2022-05-04,10,1724
2022-05-04,11,1725
2022-05-04,12,1930
2022-05-04,13,1968
2022-05-04,14,2038
2022-05-04,15,2074
2022-05-04,16,2131
2022-05-04,17,2099
2022-05-04,18,2061
2022-05-04,19,2413
2022-05-04,20,2204
2022-05-04,21,1367
2022-05-04,22,885
2022-05-04,23,756
2022-05-05,0,325
2022-05-05,1,239
2022-05-05,2,138
2022-05-05,3,78
2022-05-05,4,80
2022-05-05,5,218
2022-05-05,6,210
2022-05-05,7,363
2022-05-05,8,887
2022-05-05,9,1454
2022-05-05,10,1542
2022-05-05,11,1584
2022-05-05,12,1847
2022-05-05,13,2053
2022-05-05,14,1992
2022-05-05,15,1908
2022-05-05,16,2058
2022-05-05,17,1837
2022-05-05,18,1866
2022-05-05,19,1978
2022-05-05,20,1671
2022-05-05,21,986
2022-05-05,22,558
2022-05-05,23,458
2022-05-06,0,175
2022-05-06,1,85
2022-05-06,2,89
2022-05-06,3,68
2022-05-06,4,40
2022-05-06,5,99
2022-05-06,6,236
2022-05-06,7,853
2022-05-06,8,1704
2022-05-06,9,1634
2022-05-06,10,1652
2022-05-06,11,1761
2022-05-06,12,2013
2022-05-06,13,1994
2022-05-06,14,1948
2022-05-06,15,1841
2022-05-06,16,1950
2022-05-06,17,2295
2022-05-06,18,2362
2022-05-06,19,2453
2022-05-06,20,1869
2022-05-06,21,1354
2022-05-06,22,880
2022-05-06,23,683
2022-05-07,0,370
2022-05-07,1,263
2022-05-07,2,161
2022-05-07,3,120
2022-05-07,4,72
2022-05-07,5,112
2022-05-07,6,205
2022-05-07,7,360
2022-05-07,8,1005
2022-05-07,9,1431
2022-05-07,10,1388
2022-05-07,11,1733
2022-05-07,12,1877
2022-05-07,13,2004
2022-05-07,14,1952
2022-05-07,15,1911
2022-05-07,16,1991
2022-05-07,17,2225
2022-05-07,18,2044
2022-05-07,19,2254
2022-05-07,20,1981
2022-05-07,21,1289
2022-05-07,22,880
2022-05-07,23,709
2022-05-08,0,295
2022-05-08,1,206
2022-05-08,2,151
2022-05-08,3,95
2022-05-08,4,44
2022-05-08,5,210
2022-05-08,6,203
2022-05-08,7,320
2022-05-08,8,900
2022-05-08,9,1447
2022-05-08,10,2562
2022-05-08,11,3153
2022-05-08,12,1994
2022-05-08,13,2079
2022-05-08,14,1919
2022-05-08,15,1825
2022-05-08,16,2116
2022-05-08,17,1773
2022-05-08,18,1815
2022-05-08,19,1912
2022-05-08,20,1510
2022-05-08,21,929
2022-05-08,22,450
2022-05-08,23,419
2022-05-09,0,124
2022-05-09,1,69
2022-05-09,2,40
2022-05-09,3,36
2022-05-09,4,32
2022-05-09,5,120
2022-05-09,6,275
2022-05-09,7,1078
2022-05-09,8,2224
2022-05-09,9,1892
2022-05-09,10,1567
2022-05-09,11,1567
2022-05-09,12,2151
2022-05-09,13,1950
2022-05-09,14,1698
2022-05-09,15,1679
2022-05-09,16,1842
2022-05-09,17,2368
2022-05-09,18,2508
2022-05-09,19,2565
2022-05-09,20,1833
2022-05-09,21,1141
2022-05-09,22,732
2022-05-09,23,471
2022-05-10,0,188
2022-05-10,1,94
2022-05-10,2,71
2022-05-10,3,56
2022-05-10,4,40
2022-05-10,5,141
2022-05-10,6,313
2022-05-10,7,1039
2022-05-10,8,2396
2022-05-10,9,1900
2022-05-10,10,1649
2022-05-10,11,1613
2022-05-10,12,2119
2022-05-10,13,1888
2022-05-10,14,1690
2022-05-10,15,1704
2022-05-10,16,1760
2022-05-10,17,2336
2022-05-10,18,2734
2022-05-10,19,2427
2022-05-10,20,1684
2022-05-10,21,1419
2022-05-10,22,712
2022-05-10,23,450
2022-05-11,0,220
2022-05-11,1,89
2022-05-11,2,82
2022-05-11,3,52
2022-05-11,4,59
2022-05-11,5,91
2022-05-11,6,299
2022-05-11,7,967
2022-05-11,8,2012
2022-05-11,9,1407
2022-05-11,10,1192
2022-05-11,11,1441
2022-05-11,12,1943
2022-05-11,13,1464
2022-05-11,14,1385
2022-05-11,15,1312
2022-05-11,16,1594
2022-05-11,17,2128
2022-05-11,18,2172
2022-05-11,19,1757
2022-05-11,20,1615
2022-05-11,21,1025
2022-05-11,22,773
2022-05-11,23,467
2022-05-12,0,178
2022-05-12,1,107
2022-05-12,2,69
2022-05-12,3,55
2022-05-12,4,50
2022-05-12,5,84
2022-05-12,6,259
2022-05-12,7,999
2022-05-12,8,2158
2022-05-12,9,1839
2022-05-12,10,1571
2022-05-12,11,1491
2022-05-12,12,1974
2022-05-12,13,1664
2022-05-12,14,1664
2022-05-12,15,1749
2022-05-12,16,1886
2022-05-12,17,2290
2022-05-12,18,2446
2022-05-12,19,2264
2022-05-12,20,1501
2022-05-12,21,1091
2022-05-12,22,666
2022-05-12,23,481
2022-05-13,0,201
2022-05-13,1,96
2022-05-13,2,81
2022-05-13,3,57
2022-05-13,4,26
2022-05-13,5,101
2022-05-13,6,237
2022-05-13,7,868
2022-05-13,8,1767
2022-05-13,9,1956
2022-05-13,10,1536
2022-05-13,11,1417
2022-05-13,12,1904
2022-05-13,13,1843
2022-05-13,14,1599
2022-05-13,15,1375
2022-05-13,16,1441
2022-05-13,17,1848
2022-05-13,18,2006
2022-05-13,19,2265
2022-05-13,20,2053
2022-05-13,21,1239
2022-05-13,22,918
2022-05-13,23,766
2022-05-14,0,315
2022-05-14,1,198
2022-05-14,2,127
2022-05-14,3,76
2022-05-14,4,66
2022-05-14,5,128
2022-05-14,6,142
2022-05-14,7,368
2022-05-14,8,924
2022-05-14,9,1461
2022-05-14,10,1564
2022-05-14,11,1638
2022-05-14,12,1874
2022-05-14,13,1937
2022-05-14,14,2020
2022-05-14,15,2030
2022-05-14,16,2149
2022-05-14,17,2154
2022-05-14,18,1975
2022-05-14,19,2639
2022-05-14,20,1990
2022-05-14,21,1463
2022-05-14,22,923
2022-05-14,23,682
2022-05-15,0,299
2022-05-15,1,244
2022-05-15,2,146
2022-05-15,3,96
2022-05-15,4,81
2022-05-15,5,168
2022-05-15,6,239
2022-05-15,7,350
2022-05-15,8,770
2022-05-15,9,1433
2022-05-15,10,1550
2022-05-15,11,1772
2022-05-15,12,2048
2022-05-15,13,2113
2022-05-15,14,2317
2022-05-15,15,2251
2022-05-15,16,2358
2022-05-15,17,2023
2022-05-15,18,1860
