datetime,hour,amount
2022-04-20,11,32
2022-04-20,12,33
2022-04-20,20,46
2022-04-25,14,1564
2022-04-25,15,2448
2022-04-25,16,2393
2022-04-25,17,3411
2022-04-25,18,3606
2022-04-25,19,3133
2022-04-25,20,2245
2022-04-25,21,1512
2022-04-25,22,1047
2022-04-25,23,788
2022-04-26,0,276
2022-04-26,1,202
2022-04-26,2,145
2022-04-26,3,115
2022-04-26,4,84
2022-04-26,5,138
2022-04-26,6,337
2022-04-26,7,1038
2022-04-26,8,2478
2022-04-26,9,1910
2022-04-26,10,1675
2022-04-26,11,2059
2022-04-26,12,2858
2022-04-26,13,2512
2022-04-26,14,2511
2022-04-26,15,2290
2022-04-26,16,2301
2022-04-26,17,3185
2022-04-26,18,3252
2022-04-26,19,2976
2022-04-26,20,2086
2022-04-26,21,1518
2022-04-26,22,1073
2022-04-26,23,786
2022-04-27,0,296
2022-04-27,1,211
2022-04-27,2,161
2022-04-27,3,144
2022-04-27,4,76
2022-04-27,5,153
2022-04-27,6,287
2022-04-27,7,1133
2022-04-27,8,2479
2022-04-27,9,1942
2022-04-27,10,1818
2022-04-27,11,2246
2022-04-27,12,3014
2022-04-27,13,2574
2022-04-27,14,2468
2022-04-27,15,2487
2022-04-27,16,2561
2022-04-27,17,3776
2022-04-27,18,3764
2022-04-27,19,3283
2022-04-27,20,2413
2022-04-27,21,1637
2022-04-27,22,1250
2022-04-27,23,853
2022-04-28,0,363
2022-04-28,1,237
2022-04-28,2,166
2022-04-28,3,142
2022-04-28,4,92
2022-04-28,5,140
2022-04-28,6,342
2022-04-28,7,1027
2022-04-28,8,2500
2022-04-28,9,2010
2022-04-28,10,1904
2022-04-28,11,2248
2022-04-28,12,3260
2022-04-28,13,2768
2022-04-28,14,2726
2022-04-28,15,2563
2022-04-28,16,2725
2022-04-28,17,3285
2022-04-28,18,3599
2022-04-28,19,3483
2022-04-28,20,2688
2022-04-28,21,2086
2022-04-28,22,1542
2022-04-28,23,1218
2022-04-29,0,669
2022-04-29,1,386
2022-04-29,2,323
2022-04-29,3,235
2022-04-29,4,187
2022-04-29,5,318
2022-04-29,6,310
2022-04-29,7,380
2022-04-29,8,780
2022-04-29,9,1613
2022-04-29,10,2133
2022-04-29,11,2874
2022-04-29,12,3471
2022-04-29,13,3698
2022-04-29,14,3474
2022-04-29,15,3159
2022-04-29,16,3142
2022-04-29,17,3606
2022-04-29,18,3616
2022-04-29,19,2970
2022-04-29,20,2447
2022-04-29,21,1731
2022-04-29,22,1225
2022-04-29,23,1021
2022-04-30,0,422
2022-04-30,1,298
2022-04-30,2,250
2022-04-30,3,200
2022-04-30,4,134
2022-04-30,5,315
2022-04-30,6,331
2022-04-30,7,423
2022-04-30,8,1023
2022-04-30,9,1728
2022-04-30,10,2339
2022-04-30,11,3105
2022-04-30,12,3342
2022-04-30,13,3902
2022-04-30,14,3942
2022-04-30,15,3620
2022-04-30,16,3439
2022-04-30,17,3820
2022-04-30,18,3904
2022-04-30,19,3528
2022-04-30,20,2965
2022-04-30,21,2071
2022-04-30,22,1787
2022-04-30,23,1346
2022-05-01,0,610
2022-05-01,1,467
2022-05-01,2,343
2022-05-01,3,311
2022-05-01,4,133
2022-05-01,5,202
2022-05-01,6,383
2022-05-01,7,358
2022-05-01,8,905
2022-05-01,9,1737
2022-05-01,10,2265
2022-05-01,11,3175
2022-05-01,12,3588
2022-05-01,13,3787
2022-05-01,14,3779
2022-05-01,15,3447
2022-05-01,16,3356
2022-05-01,17,3302
2022-05-01,18,3148
2022-05-01,19,2881
2022-05-01,20,2205
2022-05-01,21,1691
2022-05-01,22,1011
2022-05-01,23,894
2022-05-02,0,439
2022-05-02,1,295
2022-05-02,2,264
2022-05-02,3,190
2022-05-02,4,106
2022-05-02,5,200
2022-05-02,6,370
2022-05-02,7,726
2022-05-02,8,1601
2022-05-02,9,1700
2022-05-02,10,2172
2022-05-02,11,2665
2022-05-02,12,3381
2022-05-02,13,3263
2022-05-02,14,3386
2022-05-02,15,3210
2022-05-02,16,3244
2022-05-02,17,3917
2022-05-02,18,3782
2022-05-02,19,3132
2022-05-02,20,2554
2022-05-02,21,2070
2022-05-02,22,1601
2022-05-02,23,1090
2022-05-03,0,479
2022-05-03,1,327
2022-05-03,2,294
2022-05-03,3,187
2022-05-03,4,120
2022-05-03,5,172
2022-05-03,6,346
2022-05-03,7,337
2022-05-03,8,701
2022-05-03,9,1525
2022-05-03,10,2026
2022-05-03,11,2782
2022-05-03,12,3353
2022-05-03,13,3655
2022-05-03,14,3621
2022-05-03,15,3490
2022-05-03,16,3626
2022-05-03,17,3678
2022-05-03,18,3833
2022-05-03,19,3430
2022-05-03,20,2578
2022-05-03,21,2004
2022-05-03,22,1569
2022-05-03,23,1128
2022-05-04,0,611
2022-05-04,1,309
2022-05-04,2,277
2022-05-04,3,210
2022-05-04,4,214
2022-05-04,5,325
2022-05-04,6,342
2022-05-04,7,324
2022-05-04,8,759
2022-05-04,9,1414
2022-05-04,10,2059
2022-05-04,11,3061
2022-05-04,12,3549
2022-05-04,13,3862
2022-05-04,14,3850
2022-05-04,15,3840
2022-05-04,16,3910
2022-05-04,17,3455
2022-05-04,18,3699
2022-05-04,19,3382
2022-05-04,20,2740
2022-05-04,21,2196
2022-05-04,22,1556
2022-05-04,23,1319
2022-05-05,0,583
2022-05-05,1,444
2022-05-05,2,293
2022-05-05,3,210
2022-05-05,4,161
2022-05-05,5,411
2022-05-05,6,325
2022-05-05,7,334
2022-05-05,8,864
2022-05-05,9,1377
2022-05-05,10,2071
2022-05-05,11,2787
2022-05-05,12,3187
2022-05-05,13,3376
2022-05-05,14,3584
2022-05-05,15,3373
2022-05-05,16,3175
2022-05-05,17,2963
2022-05-05,18,2683
2022-05-05,19,2370
2022-05-05,20,1990
2022-05-05,21,1473
2022-05-05,22,931
2022-05-05,23,704
2022-05-06,0,302
2022-05-06,1,188
2022-05-06,2,222
2022-05-06,3,181
2022-05-06,4,92
2022-05-06,5,172
2022-05-06,6,287
2022-05-06,7,761
2022-05-06,8,1814
2022-05-06,9,1660
2022-05-06,10,1832
2022-05-06,11,2346
2022-05-06,12,2984
2022-05-06,13,2909
2022-05-06,14,2934
2022-05-06,15,2697
2022-05-06,16,2859
2022-05-06,17,3215
2022-05-06,18,3142
2022-05-06,19,2862
2022-05-06,20,2201
2022-05-06,21,1733
2022-05-06,22,1228
2022-05-06,23,1100
2022-05-07,0,503
2022-05-07,1,426
2022-05-07,2,286
2022-05-07,3,240
2022-05-07,4,93
2022-05-07,5,181
2022-05-07,6,288
2022-05-07,7,301
2022-05-07,8,858
2022-05-07,9,1557
2022-05-07,10,1826
2022-05-07,11,2456
2022-05-07,12,2836
2022-05-07,13,3146
2022-05-07,14,3052
2022-05-07,15,3180
2022-05-07,16,2997
2022-05-07,17,3458
2022-05-07,18,3270
2022-05-07,19,3065
2022-05-07,20,2662
2022-05-07,21,2152
2022-05-07,22,1535
2022-05-07,23,1237
2022-05-08,0,686
2022-05-08,1,355
2022-05-08,2,303
2022-05-08,3,199
2022-05-08,4,84
2022-05-08,5,297
2022-05-08,6,310
2022-05-08,7,388
2022-05-08,8,785
2022-05-08,9,1658
2022-05-08,10,1961
2022-05-08,11,2711
2022-05-08,12,3146
2022-05-08,13,3577
2022-05-08,14,3709
2022-05-08,15,3623
2022-05-08,16,3545
2022-05-08,17,3377
2022-05-08,18,3133
2022-05-08,19,2677
2022-05-08,20,1890
2022-05-08,21,1320
2022-05-08,22,763
2022-05-08,23,591
