datetime,hour,amount
2022-04-20,14,35
2022-04-20,20,49
2022-04-27,10,2102
2022-04-27,11,3761
2022-04-27,12,5120
2022-04-27,13,4513
2022-04-27,14,4363
2022-04-27,15,4549
2022-04-27,16,4917
2022-04-27,17,6500
2022-04-27,18,6687
2022-04-27,19,5271
2022-04-27,20,3894
2022-04-27,21,2957
2022-04-27,22,2434
2022-04-27,23,1674
2022-04-28,0,764
2022-04-28,1,417
2022-04-28,2,306
2022-04-28,3,265
2022-04-28,4,101
2022-04-28,5,239
2022-04-28,6,669
2022-04-28,7,2536
2022-04-28,8,5196
2022-04-28,9,3342
2022-04-28,10,3145
2022-04-28,11,3664
2022-04-28,12,5162
2022-04-28,13,4579
2022-04-28,14,4306
2022-04-28,15,4396
2022-04-28,16,4986
2022-04-28,17,6280
2022-04-28,18,6953
2022-04-28,19,5833
2022-04-28,20,4354
2022-04-28,21,3698
2022-04-28,22,2739
2022-04-28,23,2584
2022-04-29,0,1224
2022-04-29,1,726
2022-04-29,2,535
2022-04-29,3,452
2022-04-29,4,114
2022-04-29,5,481
2022-04-29,6,629
2022-04-29,7,826
2022-04-29,8,1960
2022-04-29,9,2669
2022-04-29,10,3818
2022-04-29,11,4946
2022-04-29,12,5455
2022-04-29,13,5928
2022-04-29,14,5676
2022-04-29,15,5402
2022-04-29,16,5625
2022-04-29,17,5500
2022-04-29,18,5007
2022-04-29,19,4446
2022-04-29,20,3319
2022-04-29,21,2860
2022-04-29,22,1966
2022-04-29,23,1633
2022-04-30,0,659
2022-04-30,1,489
2022-04-30,2,404
2022-04-30,3,241
2022-04-30,4,71
2022-04-30,5,362
2022-04-30,6,609
2022-04-30,7,895
2022-04-30,8,1924
2022-04-30,9,2760
2022-04-30,10,4098
2022-04-30,11,5053
2022-04-30,12,6048
2022-04-30,13,6441
2022-04-30,14,6833
2022-04-30,15,6454
2022-04-30,16,6003
2022-04-30,17,6314
2022-04-30,18,5669
2022-04-30,19,4836
2022-04-30,20,3929
2022-04-30,21,3026
2022-04-30,22,2725
2022-04-30,23,2165
2022-05-01,0,983
2022-05-01,1,731
2022-05-01,2,495
2022-05-01,3,462
2022-05-01,4,140
2022-05-01,5,425
2022-05-01,6,613
2022-05-01,7,779
2022-05-01,8,1708
2022-05-01,9,2613
2022-05-01,10,3747
2022-05-01,11,4899
2022-05-01,12,5481
2022-05-01,13,5654
2022-05-01,14,5489
2022-05-01,15,5303
2022-05-01,16,4947
2022-05-01,17,5051
2022-05-01,18,4685
2022-05-01,19,4071
2022-05-01,20,3067
2022-05-01,21,2613
2022-05-01,22,1700
2022-05-01,23,1416
2022-05-02,0,624
2022-05-02,1,421
2022-05-02,2,368
2022-05-02,3,215
2022-05-02,4,83
2022-05-02,5,309
2022-05-02,6,616
2022-05-02,7,1675
2022-05-02,8,3549
2022-05-02,9,2941
2022-05-02,10,3645
2022-05-02,11,4913
2022-05-02,12,5887
2022-05-02,13,5740
2022-05-02,14,5793
2022-05-02,15,5575
2022-05-02,16,5929
2022-05-02,17,6517
2022-05-02,18,6374
2022-05-02,19,4899
2022-05-02,20,3798
2022-05-02,21,3366
2022-05-02,22,2481
2022-05-02,23,1975
2022-05-03,0,812
2022-05-03,1,571
2022-05-03,2,447
2022-05-03,3,330
2022-05-03,4,123
2022-05-03,5,324
2022-05-03,6,563
2022-05-03,7,810
2022-05-03,8,1665
2022-05-03,9,2338
2022-05-03,10,3863
2022-05-03,11,4980
2022-05-03,12,5587
2022-05-03,13,6300
2022-05-03,14,6586
2022-05-03,15,6425
2022-05-03,16,6465
2022-05-03,17,6293
2022-05-03,18,5979
2022-05-03,19,5166
2022-05-03,20,4136
2022-05-03,21,3039
2022-05-03,22,2374
2022-05-03,23,2142
2022-05-04,0,926
2022-05-04,1,594
2022-05-04,2,422
2022-05-04,3,358
2022-05-04,4,94
2022-05-04,5,374
2022-05-04,6,559
2022-05-04,7,777
2022-05-04,8,1605
2022-05-04,9,2490
2022-05-04,10,3987
2022-05-04,11,5002
2022-05-04,12,5297
2022-05-04,15,3801
2022-05-04,16,6200
2022-05-04,17,6178
2022-05-04,18,5852
2022-05-04,19,4887
2022-05-04,20,3975
2022-05-04,21,3211
2022-05-04,22,2433
2022-05-04,23,2012
2022-05-05,0,871
2022-05-05,1,772
2022-05-05,2,493
2022-05-05,3,348
2022-05-05,4,311
2022-05-05,5,520
2022-05-05,6,548
2022-05-05,7,777
2022-05-05,8,1569
2022-05-05,9,2413
2022-05-05,10,3692
2022-05-05,11,4847
2022-05-05,12,5305
2022-05-05,13,5774
2022-05-05,14,6003
2022-05-05,15,5670
2022-05-05,16,5783
2022-05-05,17,5385
2022-05-05,18,4644
2022-05-05,19,3895
2022-05-05,20,3327
2022-05-05,21,2542
2022-05-05,22,1680
2022-05-05,23,1304
2022-05-06,0,513
2022-05-06,1,305
2022-05-06,2,274
2022-05-06,3,194
2022-05-06,4,87
2022-05-06,5,262
2022-05-06,6,611
2022-05-06,7,1691
2022-05-06,8,3536
2022-05-06,9,2723
2022-05-06,10,3241
2022-05-06,11,3994
2022-05-06,12,4959
2022-05-06,13,4835
2022-05-06,14,4769
2022-05-06,15,4769
2022-05-06,16,4770
2022-05-06,17,5831
2022-05-06,18,5698
2022-05-06,19,4708
2022-05-06,20,3624
2022-05-06,21,3070
2022-05-06,22,2226
2022-05-06,23,1972
2022-05-07,0,890
2022-05-07,1,702
2022-05-07,2,468
2022-05-07,3,360
2022-05-07,4,92
2022-05-07,5,304
2022-05-07,6,526
2022-05-07,7,787
2022-05-07,8,1784
2022-05-07,9,2684
2022-05-07,10,3449
2022-05-07,11,4525
2022-05-07,12,5147
2022-05-07,13,5564
2022-05-07,14,5602
2022-05-07,15,5445
2022-05-07,16,5304
2022-05-07,17,5380
2022-05-07,18,5191
2022-05-07,19,4664
2022-05-07,20,3717
2022-05-07,21,3017
2022-05-07,22,2249
2022-05-07,23,2080
2022-05-08,0,985
2022-05-08,1,660
2022-05-08,2,517
2022-05-08,3,309
2022-05-08,4,130
2022-05-08,5,297
2022-05-08,6,557
2022-05-08,7,759
2022-05-08,8,1519
2022-05-08,9,2489
2022-05-08,10,4198
2022-05-08,11,5724
2022-05-08,12,4869
2022-05-08,13,5325
2022-05-08,14,5223
2022-05-08,15,5280
2022-05-08,16,5237
2022-05-08,17,4857
2022-05-08,18,4295
2022-05-08,19,3668
2022-05-08,20,2564
2022-05-08,21,1893
2022-05-08,22,1274
2022-05-08,23,1082
2022-05-09,0,420
2022-05-09,1,292
2022-05-09,2,201
2022-05-09,3,150
2022-05-09,4,147
2022-05-09,5,267
2022-05-09,6,621
2022-05-09,7,2452
2022-05-09,8,5110
2022-05-09,9,2921
2022-05-09,10,2510
2022-05-09,11,3167
2022-05-09,12,4392
2022-05-09,13,3826
2022-05-09,14,3774
2022-05-09,15,3416
2022-05-09,16,4005
2022-05-09,17,5278
2022-05-09,18,5671
2022-05-09,19,4586
2022-05-09,20,3415
2022-05-09,21,2391
2022-05-09,22,1717
2022-05-09,23,1231
2022-05-10,0,441
2022-05-10,1,192
2022-05-10,2,183
2022-05-10,3,127
2022-05-10,4,47
2022-05-10,5,225
2022-05-10,6,551
2022-05-10,7,2384
2022-05-10,8,5022
2022-05-10,9,3014
2022-05-10,10,2873
2022-05-10,11,3364
2022-05-10,12,4636
2022-05-10,13,4016
2022-05-10,14,3809
2022-05-10,15,3857
2022-05-10,16,4049
2022-05-10,17,5322
2022-05-10,18,5698
2022-05-10,19,4592
2022-05-10,20,3332
2022-05-10,21,2716
2022-05-10,22,1991
2022-05-10,23,1257
2022-05-11,0,632
2022-05-11,1,321
2022-05-11,2,233
2022-05-11,3,140
2022-05-11,4,64
2022-05-11,5,188
2022-05-11,6,581
2022-05-11,7,2338
2022-05-11,8,4929
2022-05-11,9,2824
2022-05-11,10,2599
2022-05-11,11,3181
2022-05-11,12,4317
2022-05-11,13,3651
2022-05-11,14,3452
2022-05-11,15,3509
2022-05-11,16,3740
2022-05-11,17,5392
2022-05-11,18,5626
2022-05-11,19,4192
2022-05-11,20,3278
2022-05-11,21,2393
2022-05-11,22,1772
2022-05-11,23,1227
2022-05-12,0,484
2022-05-12,1,352
2022-05-12,2,203
2022-05-12,3,144
2022-05-12,4,126
2022-05-12,5,265
2022-05-12,6,547
2022-05-12,7,2418
2022-05-12,8,5052
2022-05-12,9,2962
2022-05-12,10,2946
2022-05-12,11,3474
2022-05-12,12,4686
2022-05-12,13,4087
2022-05-12,14,5214
2022-05-12,15,4410
2022-05-12,16,4104
2022-05-12,17,5192
2022-05-12,18,6067
2022-05-12,19,4594
2022-05-12,20,3449
2022-05-12,21,2518
2022-05-12,22,1805
2022-05-12,23,1444
2022-05-13,0,522
2022-05-13,1,342
2022-05-13,2,261
2022-05-13,3,191
2022-05-13,4,28
2022-05-13,5,227
2022-05-13,6,559
2022-05-13,7,2240
2022-05-13,8,5132
2022-05-13,9,3225
2022-05-13,10,2924
2022-05-13,11,3305
2022-05-13,12,4464
2022-05-13,13,4074
2022-05-13,14,4125
2022-05-13,15,3773
2022-05-13,16,4235
2022-05-13,17,5754
2022-05-13,18,6174
2022-05-13,19,5393
2022-05-13,20,3858
2022-05-13,21,3537
2022-05-13,22,2581
2022-05-13,23,2500
2022-05-14,0,1006
2022-05-14,1,630
2022-05-14,2,499
2022-05-14,3,274
2022-05-14,4,31
2022-05-14,5,318
2022-05-14,6,498
2022-05-14,7,867
2022-05-14,8,1891
2022-05-14,9,2692
2022-05-14,10,3589
2022-05-14,11,4589
2022-05-14,12,5557
2022-05-14,13,6151
2022-05-14,14,6545
2022-05-14,15,6216
2022-05-14,16,6298
2022-05-14,17,6651
2022-05-14,18,6426
2022-05-14,19,5904
2022-05-14,20,4006
2022-05-14,21,3266
2022-05-14,22,2600
2022-05-14,23,2114
2022-05-15,0,930
2022-05-15,1,743
2022-05-15,2,507
2022-05-15,3,386
2022-05-15,4,61
2022-05-15,5,322
2022-05-15,6,576
2022-05-15,7,851
2022-05-15,8,1662
2022-05-15,9,2522
2022-05-15,10,3731
2022-05-15,11,5281
2022-05-15,12,5835
2022-05-15,13,6380
2022-05-15,14,6852
2022-05-15,15,6646
2022-05-15,16,6691
2022-05-15,17,5846
2022-05-15,18,5073
2022-05-15,19,3915
2022-05-15,20,2990
2022-05-15,21,2031
