datetime,hour,amount
2022-05-13,6,22
2022-05-14,10,1260
2022-05-14,11,4655
2022-05-14,12,5941
2022-05-14,13,6815
2022-05-14,14,7701
2022-05-14,15,7366
2022-05-14,16,8105
2022-05-14,17,8258
2022-05-14,18,5413
2022-05-14,19,127
2022-05-15,6,199
2022-05-15,7,890
2022-05-15,8,1608
2022-05-15,9,2096
2022-05-15,10,4479
2022-05-15,11,7218
2022-05-15,12,7818
2022-05-15,13,9027
2022-05-15,14,9290
2022-05-15,15,9413
2022-05-15,16,9752
2022-05-15,17,166
2022-05-22,11,553
2022-05-22,12,1310
2022-05-22,13,1451
2022-05-22,14,1733
2022-05-22,15,1022
2022-05-22,16,711
2022-05-22,17,1684
2022-05-22,18,1340
2022-05-22,19,247
2022-05-25,14,181
2022-05-25,15,254
2022-05-25,16,255
2022-05-25,18,217
2022-05-25,19,49
2022-05-25,20,300
2022-05-25,21,28
2022-05-25,23,18
2022-05-26,0,15
2022-05-26,1,4
2022-05-26,2,16
2022-05-26,3,34
2022-05-26,4,29
2022-05-26,5,59
2022-05-26,6,184
2022-05-26,7,893
2022-05-26,8,1510
2022-05-26,9,1178
2022-05-26,10,955
2022-05-26,11,957
2022-05-26,12,1310
2022-05-26,13,987
2022-05-26,14,967
2022-05-26,15,974
2022-05-26,16,1122
2022-05-26,17,1496
2022-05-26,18,1616
2022-05-26,19,1170
2022-05-26,20,1113
2022-05-26,21,674
2022-07-12,20,50
