datetime,hour,amount
2022-07-18,14,1748
2022-07-18,15,732
2022-07-18,16,1733
2022-07-18,17,1695
2022-07-18,18,1684
2022-07-18,19,1563
2022-07-18,20,1186
2022-07-18,21,762
2022-07-18,22,563
2022-07-18,23,323
2022-07-19,0,108
2022-07-19,1,136
2022-07-19,2,70
2022-07-19,3,56
2022-07-19,4,30
2022-07-19,5,91
2022-07-19,6,193
2022-07-19,7,913
2022-07-19,8,2630
2022-07-19,9,1273
2022-07-19,10,1123
2022-07-19,11,1336
2022-07-19,12,2768
2022-07-19,13,2195
2022-07-19,14,1475
2022-07-19,15,1377
2022-07-19,16,1736
2022-07-19,17,2398
2022-07-19,18,2830
2022-07-19,19,2236
2022-07-19,20,1548
2022-07-19,21,1033
2022-07-19,22,749
2022-07-19,23,539
2022-07-20,0,308
2022-07-20,1,156
2022-07-20,2,132
2022-07-20,3,72
2022-07-20,4,48
2022-07-20,5,94
2022-07-20,6,190
2022-07-20,7,890
2022-07-20,8,2517
2022-07-20,9,1313
2022-07-20,10,1097
2022-07-20,11,1612
2022-07-20,12,2843
2022-07-20,13,2065
2022-07-20,14,1716
2022-07-20,15,1679
2022-07-20,16,1700
2022-07-20,17,2618
2022-07-20,18,3061
2022-07-20,19,2462
2022-07-20,20,1963
2022-07-20,21,1317
2022-07-20,22,834
2022-07-20,23,584
2022-07-21,0,246
2022-07-21,1,169
2022-07-21,2,131
2022-07-21,3,95
2022-07-21,4,69
2022-07-21,5,78
2022-07-21,6,254
2022-07-21,7,886
2022-07-21,8,2587
2022-07-21,9,1325
2022-07-21,10,1122
2022-07-21,11,1473
2022-07-21,12,2709
2022-07-21,13,2113
2022-07-21,14,1764
2022-07-21,15,1495
2022-07-21,16,1593
2022-07-21,17,2351
2022-07-21,18,2775
2022-07-21,19,2114
2022-07-21,20,1617
2022-07-21,21,1144
2022-07-21,22,841
2022-07-21,23,545
2022-07-22,0,241
2022-07-22,1,168
2022-07-22,2,110
2022-07-22,3,65
2022-07-22,4,86
2022-07-22,5,102
2022-07-22,6,225
2022-07-22,7,940
2022-07-22,8,2677
2022-07-22,9,1440
2022-07-22,10,1181
2022-07-22,11,1510
2022-07-22,12,3039
2022-07-22,13,1999
2022-07-22,14,1652
2022-07-22,15,1454
2022-07-22,16,1683
2022-07-22,17,2470
2022-07-22,18,2904
2022-07-22,19,2284
2022-07-22,20,1869
2022-07-22,21,1483
2022-07-22,22,1078
2022-07-22,23,754
2022-07-23,0,492
2022-07-23,1,330
2022-07-23,2,230
2022-07-23,3,118
2022-07-23,4,93
2022-07-23,5,145
2022-07-23,6,181
2022-07-23,7,318
2022-07-23,8,695
2022-07-23,9,1105
2022-07-23,10,1400
2022-07-23,11,1723
2022-07-23,12,2297
2022-07-23,13,2256
2022-07-23,14,2120
2022-07-23,15,2130
2022-07-23,16,2286
2022-07-23,17,2380
2022-07-23,18,2548
2022-07-23,19,1886
2022-07-23,20,1604
2022-07-23,21,1323
2022-07-23,22,1051
2022-07-23,23,676
2022-07-24,0,423
2022-07-24,1,238
2022-07-24,2,127
2022-07-24,3,144
2022-07-24,4,112
2022-07-24,5,115
2022-07-24,6,125
2022-07-24,7,287
2022-07-24,8,555
2022-07-24,9,814
2022-07-24,10,1022
2022-07-24,11,1421
2022-07-24,12,1965
2022-07-24,13,1997
2022-07-24,14,2020
2022-07-24,15,1944
2022-07-24,16,1781
2022-07-24,17,1824
2022-07-24,18,1783
2022-07-24,19,1431
2022-07-24,20,1034
2022-07-24,21,673
2022-07-24,22,500
2022-07-24,23,288
2022-07-25,0,156
2022-07-25,1,115
2022-07-25,2,114
2022-07-25,3,64
2022-07-25,4,77
2022-07-25,5,82
2022-07-25,6,211
2022-07-25,7,864
2022-07-25,8,2616
2022-07-25,9,1282
2022-07-25,10,1088
2022-07-25,11,1554
2022-07-25,12,3033
2022-07-25,13,2108
2022-07-25,14,1661
2022-07-25,15,1469
2022-07-25,16,1579
2022-07-25,17,2425
2022-07-25,18,2687
2022-07-25,19,2146
2022-07-25,20,1371
2022-07-25,21,968
2022-07-25,22,654
2022-07-25,23,430
2022-07-26,0,191
2022-07-26,1,172
2022-07-26,2,120
2022-07-26,3,40
2022-07-26,4,63
2022-07-26,5,64
2022-07-26,6,233
2022-07-26,7,954
2022-07-26,8,2492
2022-07-26,9,1271
2022-07-26,10,1060
2022-07-26,11,1382
2022-07-26,12,2772
2022-07-26,13,1949
2022-07-26,14,1499
2022-07-26,15,1393
2022-07-26,16,1439
2022-07-26,17,2361
2022-07-26,18,2670
2022-07-26,19,2137
2022-07-26,20,1431
2022-07-26,21,1009
2022-07-26,22,797
2022-07-26,23,439
2022-07-27,0,246
2022-07-27,1,170
2022-07-27,2,130
2022-07-27,3,69
2022-07-27,4,78
2022-07-27,5,97
2022-07-27,6,223
2022-07-27,7,958
2022-07-27,8,2541
2022-07-27,9,1339
2022-07-27,10,1059
2022-07-27,11,1583
2022-07-27,12,2789
2022-07-27,13,2139
2022-07-27,14,1608
2022-07-27,15,1477
2022-07-27,16,1577
2022-07-27,17,2532
2022-07-27,18,2674
2022-07-27,19,1979
2022-07-27,20,1629
2022-07-27,21,1306
2022-07-27,22,683
2022-07-27,23,418
2022-07-28,0,254
2022-07-28,1,211
2022-07-28,2,104
2022-07-28,3,104
2022-07-28,4,76
2022-07-28,5,75
2022-07-28,6,195
2022-07-28,7,870
2022-07-28,8,2626
2022-07-28,9,1330
2022-07-28,10,1150
2022-07-28,11,1609
2022-07-28,12,3037
2022-07-28,13,1984
2022-07-28,14,1559
2022-07-28,15,1420
2022-07-28,16,1554
2022-07-28,17,2490
2022-07-28,18,2616
2022-07-28,19,2081
2022-07-28,20,1423
2022-07-28,21,955
2022-07-28,22,702
2022-07-28,23,516
2022-07-29,0,303
2022-07-29,1,159
2022-07-29,2,96
2022-07-29,3,57
2022-07-29,4,40
2022-07-29,5,91
2022-07-29,6,214
2022-07-29,7,933
2022-07-29,8,2394
2022-07-29,9,1332
2022-07-29,10,1271
2022-07-29,11,1655
2022-07-29,12,2964
2022-07-29,13,2140
2022-07-29,14,1783
2022-07-29,15,1726
2022-07-29,16,1677
2022-07-29,17,2490
2022-07-29,18,2795
2022-07-29,19,2183
2022-07-29,20,1803
2022-07-29,21,1302
2022-07-29,22,1161
2022-07-29,23,783
2022-07-30,0,330
2022-07-30,1,224
2022-07-30,2,211
2022-07-30,3,103
2022-07-30,4,93
2022-07-30,5,86
2022-07-30,6,143
2022-07-30,7,328
2022-07-30,8,718
2022-07-30,9,903
2022-07-30,10,1128
2022-07-30,11,1568
2022-07-30,12,1937
2022-07-30,13,2002
2022-07-30,14,2048
2022-07-30,15,1733
2022-07-30,16,1990
2022-07-30,17,2139
2022-07-30,18,2185
2022-07-30,19,1724
2022-07-30,20,1606
2022-07-30,21,1314
2022-07-30,22,1010
2022-07-30,23,692
2022-07-31,0,374
2022-07-31,1,263
2022-07-31,2,182
2022-07-31,3,91
2022-07-31,4,121
2022-07-31,5,112
2022-07-31,6,132
2022-07-31,7,275
2022-07-31,8,510
2022-07-31,9,796
2022-07-31,10,1029
2022-07-31,11,1559
2022-07-31,12,1802
2022-07-31,13,1827
2022-07-31,14,1635
2022-07-31,15,1418
2022-07-31,16,1533
2022-07-31,17,1576
2022-07-31,18,1538
2022-07-31,19,1406
2022-07-31,20,1028
2022-07-31,21,790
2022-07-31,22,505
2022-07-31,23,248
2022-08-01,0,165
2022-08-01,1,112
2022-08-01,2,98
2022-08-01,3,36
2022-08-01,4,29
2022-08-01,5,73
2022-08-01,6,195
2022-08-01,7,972
2022-08-01,8,2589
2022-08-01,9,1264
2022-08-01,10,1030
2022-08-01,11,1480
2022-08-01,12,2945
2022-08-01,13,2065
2022-08-01,14,1496
2022-08-01,15,1369
2022-08-01,16,1553
2022-08-01,17,2363
2022-08-01,18,2662
2022-08-01,19,2125
2022-08-01,20,1492
2022-08-01,21,1014
2022-08-01,22,755
2022-08-01,23,402
2022-08-02,0,242
2022-08-02,1,131
2022-08-02,2,97
2022-08-02,3,86
2022-08-02,4,83
2022-08-02,5,124
2022-08-02,6,189
2022-08-02,7,860
2022-08-02,8,2520
2022-08-02,9,1176
2022-08-02,10,1017
2022-08-02,11,1351
2022-08-02,12,2700
2022-08-02,13,2036
2022-08-02,14,1447
2022-08-02,15,1279
2022-08-02,16,1616
2022-08-02,17,2378
2022-08-02,18,2378
2022-08-02,19,2155
2022-08-02,20,1486
2022-08-02,21,930
2022-08-02,22,761
2022-08-02,23,422
2022-08-03,0,195
2022-08-03,1,152
2022-08-03,2,84
2022-08-03,3,71
2022-08-03,4,57
2022-08-03,5,101
2022-08-03,6,181
2022-08-03,7,979
2022-08-03,8,2713
2022-08-03,9,1289
2022-08-03,10,1290
2022-08-03,11,1561
2022-08-03,12,2721
2022-08-03,13,1871
