datetime,hour,amount
2022-07-04,9,1529
2022-07-04,11,2555
2022-07-04,12,4245
2022-07-04,13,2454
2022-07-04,14,3000
2022-07-04,15,4461
2022-07-04,16,2164
2022-07-04,17,3299
2022-07-04,18,4071
2022-07-04,19,2219
2022-07-04,20,1553
2022-07-04,21,2473
2022-07-04,22,2148
2022-07-04,23,5155
2022-07-05,0,3842
2022-07-05,1,852
2022-07-06,10,44
2022-07-06,11,1425
2022-07-06,12,3415
2022-07-06,13,361
2022-07-06,14,2240
2022-07-06,15,1936
2022-07-06,16,2388
2022-07-06,17,3926
2022-07-06,18,5562
2022-07-06,19,2592
2022-07-06,20,2157
2022-07-06,21,542
2022-07-06,22,3173
2022-07-06,23,2028
2022-07-07,0,1356
2022-07-07,1,1499
2022-07-07,2,3639
2022-07-07,3,1917
2022-07-07,4,2332
2022-07-07,5,2035
2022-07-07,6,2148
2022-07-07,7,864
2022-07-07,8,3368
2022-07-07,9,2076
2022-07-07,10,1325
2022-07-07,11,3103
2022-07-07,12,4218
2022-07-07,13,1783
2022-07-07,14,19
2022-07-09,11,2420
2022-07-09,12,69
2022-07-09,13,2856
2022-07-09,14,67
2022-07-09,15,2623
2022-07-09,16,2752
2022-07-09,17,2559
2022-07-09,18,188
2022-07-10,8,455
2022-07-10,9,441
2022-07-11,9,1575
2022-07-11,10,1981
2022-07-11,11,2513
2022-07-11,12,60
2022-07-12,8,1704
2022-07-12,9,442
2022-07-12,10,1936
2022-07-12,11,1937
2022-07-12,12,2301
2022-07-12,13,1861
2022-07-12,14,1635
2022-07-12,15,2411
2022-07-12,16,1035
2022-07-12,17,2340
2022-07-12,18,2669
2022-07-12,19,2190
2022-07-12,20,1785
2022-07-12,21,219
2022-07-12,22,3920
2022-07-12,23,2347
2022-07-13,0,2057
2022-07-13,1,1580
2022-07-13,2,2820
2022-07-13,3,143
2022-07-13,4,4746
2022-07-13,5,48
2022-07-15,8,132
2022-07-15,9,2460
2022-07-15,10,2068
2022-07-15,11,74
2022-07-15,12,3739
2022-07-15,13,93
2022-07-15,14,2605
2022-07-15,15,2753
2022-07-15,16,282
2022-07-15,17,3759
2022-07-15,18,4038
2022-07-16,8,182
2022-07-16,9,1234
2022-07-16,10,1741
2022-07-16,11,2225
2022-07-16,12,2925
2022-07-16,13,75
2022-07-16,14,2857
2022-07-16,15,2332
2022-07-16,16,73
2022-07-17,9,1256
2022-07-17,10,30
2022-07-17,11,2351
2022-07-17,12,2194
2022-07-17,13,3346
2022-07-17,14,2898
2022-07-17,15,2437
2022-07-17,16,1720
2022-07-17,17,1915
2022-07-17,18,1723
2022-07-17,19,1560
2022-07-17,20,1344
2022-07-18,11,1835
2022-07-18,12,2969
2022-07-18,13,2843
2022-07-18,14,2603
2022-07-18,15,2308
2022-07-18,16,2476
2022-07-18,17,2539
2022-07-18,18,1455
2022-07-19,8,1668
2022-07-19,9,2401
2022-07-19,10,2218
2022-07-19,11,2513
2022-07-19,12,4178
2022-07-19,13,3264
2022-07-19,14,2385
2022-07-19,15,2361
2022-07-19,16,2729
2022-07-19,17,3783
2022-07-19,18,2094
2022-07-20,8,2614
2022-07-20,9,2418
2022-07-20,10,2043
2022-07-20,11,2709
2022-07-20,12,91
2022-07-20,18,316
2022-07-21,8,1707
2022-07-21,9,2229
2022-07-21,10,1855
2022-07-21,11,2368
2022-07-21,12,3889
2022-07-21,13,3096
2022-07-21,14,2746
2022-07-21,15,2389
2022-07-21,16,2677
2022-07-21,17,3683
2022-07-21,18,1861
2022-07-22,8,2471
2022-07-22,9,2480
2022-07-22,10,2114
2022-07-22,11,2463
2022-07-22,12,4194
2022-07-22,13,3104
2022-07-22,14,2464
2022-07-22,15,2502
2022-07-22,16,2703
2022-07-22,17,3779
2022-07-22,18,1938
2022-07-23,8,880
2022-07-23,9,1834
2022-07-23,10,2102
2022-07-23,11,2728
2022-07-23,12,3209
2022-07-23,13,3358
2022-07-23,14,2971
2022-07-23,15,2863
2022-07-23,16,3192
2022-07-23,17,3500
2022-07-23,18,1737
2022-07-24,8,441
2022-07-24,9,1567
2022-07-24,10,1782
2022-07-24,11,2171
2022-07-24,12,2903
2022-07-24,13,2949
2022-07-24,14,2925
2022-07-24,15,2889
2022-07-24,16,2743
2022-07-24,17,2817
2022-07-24,18,1498
2022-07-25,9,1732
2022-07-25,10,2056
2022-07-25,11,2695
2022-07-25,12,4416
2022-07-25,13,3273
2022-07-25,14,2637
2022-07-25,15,2610
2022-07-25,16,2803
2022-07-25,17,3879
2022-07-25,18,1840
2022-07-26,8,1700
2022-07-26,9,2241
2022-07-26,10,1998
2022-07-26,11,2456
2022-07-26,12,4063
2022-07-26,13,2968
2022-07-26,14,2535
2022-07-26,15,2444
2022-07-26,16,2396
2022-07-26,17,3558
2022-07-26,18,2114
2022-07-27,8,1618
2022-07-27,9,2241
2022-07-27,10,1752
2022-07-27,11,2401
2022-07-27,12,3878
2022-07-27,13,3097
2022-07-27,14,2444
2022-07-27,15,2249
2022-07-27,16,2584
2022-07-27,17,3914
2022-07-27,18,1970
2022-07-28,8,1844
2022-07-28,9,2347
2022-07-28,10,2014
2022-07-28,11,2651
2022-07-28,12,4248
2022-07-28,13,3023
2022-07-28,14,2585
