datetime,hour,amount
2022-04-20,14,30
2022-04-20,15,31
2022-04-20,20,40
2022-04-26,11,361
2022-04-26,12,3952
2022-04-26,13,3572
2022-04-26,14,3313
2022-04-26,15,3384
2022-04-26,16,3533
2022-04-26,17,4714
2022-04-26,18,4772
2022-04-26,19,3861
2022-04-26,20,2868
2022-04-26,21,2398
2022-04-26,22,1848
2022-04-26,23,1223
2022-04-27,0,639
2022-04-27,1,531
2022-04-27,2,323
2022-04-27,3,161
2022-04-27,4,141
2022-04-27,5,271
2022-04-27,6,632
2022-04-27,7,2673
2022-04-27,8,4419
2022-04-27,9,3120
2022-04-27,10,2621
2022-04-27,11,2988
2022-04-27,12,3693
2022-04-27,13,3407
2022-04-27,14,3272
2022-04-27,15,3498
2022-04-27,16,3738
2022-04-27,17,4780
2022-04-27,18,4898
2022-04-27,19,4031
2022-04-27,20,2823
2022-04-27,21,2370
2022-04-27,22,1975
2022-04-27,23,1185
2022-04-28,0,597
2022-04-28,1,463
2022-04-28,2,268
2022-04-28,3,225
2022-04-28,4,66
2022-04-28,5,259
2022-04-28,6,781
2022-04-28,7,2760
2022-04-28,8,4566
2022-04-28,9,3395
2022-04-28,10,2876
2022-04-28,11,3261
2022-04-28,12,3895
2022-04-28,13,3632
2022-04-28,14,3352
2022-04-28,15,3449
2022-04-28,16,4003
2022-04-28,17,5027
2022-04-28,18,5329
2022-04-28,19,4584
2022-04-28,20,3341
2022-04-28,21,2451
2022-04-28,22,1834
2022-04-28,23,1485
2022-04-29,0,778
2022-04-29,1,448
2022-04-29,2,288
2022-04-29,3,296
2022-04-29,4,97
2022-04-29,5,254
2022-04-29,6,545
2022-04-29,7,1006
2022-04-29,8,1957
2022-04-29,9,2597
2022-04-29,10,3093
2022-04-29,11,3815
2022-04-29,12,4178
2022-04-29,13,3975
2022-04-29,14,3546
2022-04-29,15,3068
2022-04-29,16,3287
2022-04-29,17,3292
2022-04-29,18,2889
2022-04-29,19,2389
2022-04-29,20,1799
2022-04-29,21,1679
2022-04-29,22,1145
2022-04-29,23,839
2022-04-30,0,495
2022-04-30,1,371
2022-04-30,2,325
2022-04-30,3,207
2022-04-30,4,74
2022-04-30,5,242
2022-04-30,6,506
2022-04-30,7,939
2022-04-30,8,1948
2022-04-30,9,2879
2022-04-30,10,3506
2022-04-30,11,4110
2022-04-30,12,4612
2022-04-30,13,4617
2022-04-30,14,4737
2022-04-30,15,4390
2022-04-30,16,4187
2022-04-30,17,4475
2022-04-30,18,3993
2022-04-30,19,3350
2022-04-30,20,2410
2022-04-30,21,2161
2022-04-30,22,1750
2022-04-30,23,1189
2022-05-01,0,630
2022-05-01,1,452
2022-05-01,2,337
2022-05-01,3,359
2022-05-01,4,194
2022-05-01,5,315
2022-05-01,6,488
2022-05-01,7,858
2022-05-01,8,1710
2022-05-01,9,2560
2022-05-01,10,2994
2022-05-01,11,3533
2022-05-01,12,3638
2022-05-01,13,3178
2022-05-01,14,3333
2022-05-01,15,3081
2022-05-01,16,3132
2022-05-01,17,3000
2022-05-01,18,2652
2022-05-01,19,2091
2022-05-01,20,1642
2022-05-01,21,1685
2022-05-01,22,1027
2022-05-01,23,789
2022-05-02,0,345
2022-05-02,1,268
2022-05-02,2,214
2022-05-02,3,140
2022-05-02,4,63
2022-05-02,5,195
2022-05-02,6,529
2022-05-02,7,1750
2022-05-02,8,3221
2022-05-02,9,2704
2022-05-02,10,3035
2022-05-02,11,3617
2022-05-02,12,4170
2022-05-02,13,4007
2022-05-02,14,3309
2022-05-02,15,3297
2022-05-02,16,3845
2022-05-02,17,4454
2022-05-02,18,4318
2022-05-02,19,3435
2022-05-02,20,2276
2022-05-02,21,1904
2022-05-02,22,1524
2022-05-02,23,1119
2022-05-03,0,608
2022-05-03,1,375
2022-05-03,2,298
2022-05-03,3,234
2022-05-03,4,64
2022-05-03,5,254
2022-05-03,6,482
2022-05-03,7,940
2022-05-03,8,1973
2022-05-03,9,2419
2022-05-03,10,3303
2022-05-03,11,3889
2022-05-03,12,3873
2022-05-03,13,4267
2022-05-03,14,4134
2022-05-03,15,4431
2022-05-03,16,4185
2022-05-03,17,4277
2022-05-03,18,3847
2022-05-03,19,3101
2022-05-03,20,2534
2022-05-03,21,2027
2022-05-03,22,1438
2022-05-03,23,1122
2022-05-04,0,589
2022-05-04,1,495
2022-05-04,2,330
2022-05-04,3,245
2022-05-04,4,86
2022-05-04,5,233
2022-05-04,6,439
2022-05-04,7,821
2022-05-04,8,1669
2022-05-04,9,2356
2022-05-04,10,3202
2022-05-04,11,3805
2022-05-04,12,3772
2022-05-04,13,3818
2022-05-04,14,4062
2022-05-04,15,4304
2022-05-04,16,4025
2022-05-04,17,3894
2022-05-04,18,3853
2022-05-04,19,3273
2022-05-04,20,2645
2022-05-04,21,2064
2022-05-04,22,1462
2022-05-04,23,1104
2022-05-05,0,591
2022-05-05,1,519
2022-05-05,2,340
2022-05-05,3,276
2022-05-05,4,105
2022-05-05,5,277
2022-05-05,6,359
2022-05-05,7,895
2022-05-05,8,1659
2022-05-05,9,2422
2022-05-05,10,2854
2022-05-05,11,3422
2022-05-05,12,3828
2022-05-05,13,3821
2022-05-05,14,4030
2022-05-05,15,3755
2022-05-05,16,3841
2022-05-05,17,3821
2022-05-05,18,3148
2022-05-05,19,2695
2022-05-05,20,2202
2022-05-05,21,1852
2022-05-05,22,1179
2022-05-05,23,842
2022-05-06,0,431
2022-05-06,1,308
2022-05-06,2,228
2022-05-06,3,154
2022-05-06,4,136
2022-05-06,5,260
2022-05-06,6,654
2022-05-06,7,1987
2022-05-06,8,3178
2022-05-06,9,2534
2022-05-06,10,2592
2022-05-06,11,3009
2022-05-06,12,3726
2022-05-06,13,3425
2022-05-06,14,3387
2022-05-06,15,3289
2022-05-06,16,3408
2022-05-06,17,4154
2022-05-06,18,4352
2022-05-06,19,3520
2022-05-06,20,2533
2022-05-06,21,2232
2022-05-06,22,1623
2022-05-06,23,1070
2022-05-07,0,620
2022-05-07,1,471
2022-05-07,2,307
2022-05-07,3,260
2022-05-07,4,84
2022-05-07,5,222
2022-05-07,6,468
2022-05-07,7,945
2022-05-07,8,1918
2022-05-07,9,2371
2022-05-07,10,2877
2022-05-07,11,3636
2022-05-07,12,3912
2022-05-07,13,4005
2022-05-07,14,3596
2022-05-07,15,3663
2022-05-07,16,3585
2022-05-07,17,3937
2022-05-07,18,3595
2022-05-07,19,3121
2022-05-07,20,2423
2022-05-07,21,1959
2022-05-07,22,1573
2022-05-07,23,1062
2022-05-08,0,601
2022-05-08,1,429
2022-05-08,2,335
2022-05-08,3,226
2022-05-08,4,80
2022-05-08,5,206
2022-05-08,6,412
2022-05-08,7,775
2022-05-08,8,1571
2022-05-08,9,1989
2022-05-08,10,5295
2022-05-08,11,6074
2022-05-08,12,3531
2022-05-08,13,3782
2022-05-08,14,3719
2022-05-08,15,3505
2022-05-08,16,3494
2022-05-08,17,3300
2022-05-08,18,2985
2022-05-08,19,2380
2022-05-08,20,1892
2022-05-08,21,1527
2022-05-08,22,1011
2022-05-08,23,847
2022-05-09,0,365
2022-05-09,1,258
2022-05-09,2,160
2022-05-09,3,132
2022-05-09,4,57
2022-05-09,5,200
2022-05-09,6,690
2022-05-09,7,2720
2022-05-09,8,4358
2022-05-09,9,3102
2022-05-09,10,2417
2022-05-09,11,2902
2022-05-09,12,3496
2022-05-09,13,3167
2022-05-09,14,3061
2022-05-09,15,3006
2022-05-09,16,3273
2022-05-09,17,4037
2022-05-09,18,4814
2022-05-09,19,3732
2022-05-09,20,2761
2022-05-09,21,2020
2022-05-09,22,1350
2022-05-09,23,846
2022-05-10,0,396
2022-05-10,1,228
2022-05-10,2,185
2022-05-10,3,148
2022-05-10,4,61
2022-05-10,5,229
2022-05-10,6,711
2022-05-10,7,2641
2022-05-10,8,4690
2022-05-10,9,3011
2022-05-10,10,2647
2022-05-10,11,2805
2022-05-10,12,3641
2022-05-10,13,3120
2022-05-10,14,2767
2022-05-10,15,3098
2022-05-10,16,3528
2022-05-10,17,4678
2022-05-10,18,5100
2022-05-10,19,4196
2022-05-10,20,2835
2022-05-10,21,2385
2022-05-10,22,1721
2022-05-10,23,913
2022-05-11,0,520
2022-05-11,1,277
2022-05-11,2,189
2022-05-11,3,141
2022-05-11,4,46
2022-05-11,5,168
2022-05-11,6,658
2022-05-11,7,2572
2022-05-11,8,4329
2022-05-11,9,2966
2022-05-11,10,2343
2022-05-11,11,2824
2022-05-11,12,3537
2022-05-11,13,2831
2022-05-11,14,2696
2022-05-11,15,2918
2022-05-11,16,3141
2022-05-11,17,4152
2022-05-11,18,4570
2022-05-11,19,3482
2022-05-11,20,2565
2022-05-11,21,1951
2022-05-11,22,1488
2022-05-11,23,863
2022-05-12,0,413
2022-05-12,1,298
2022-05-12,2,153
2022-05-12,3,91
2022-05-12,4,23
2022-05-12,5,213
2022-05-12,6,629
2022-05-12,7,2643
2022-05-12,8,4561
2022-05-12,9,3090
2022-05-12,10,2552
2022-05-12,11,2920
2022-05-12,12,3598
2022-05-12,13,3202
2022-05-12,14,3688
2022-05-12,15,3457
2022-05-12,16,3525
2022-05-12,17,4329
2022-05-12,18,4604
2022-05-12,19,3846
2022-05-12,20,2723
2022-05-12,21,2215
2022-05-12,22,1556
2022-05-12,23,1148
2022-05-13,0,544
2022-05-13,1,298
2022-05-13,2,208
2022-05-13,3,150
2022-05-13,4,11
2022-05-13,5,211
2022-05-13,6,604
2022-05-13,7,2390
2022-05-13,8,3720
2022-05-13,9,2924
2022-05-13,10,2339
2022-05-13,11,2428
2022-05-13,12,3094
2022-05-13,13,2987
2022-05-13,14,2659
2022-05-13,15,2671
2022-05-13,16,2835
2022-05-13,17,3875
2022-05-13,18,4222
2022-05-13,19,3759
2022-05-13,20,2418
2022-05-13,21,2405
2022-05-13,22,1866
2022-05-13,23,1241
2022-05-14,0,623
2022-05-14,1,419
2022-05-14,2,319
2022-05-14,3,219
2022-05-14,4,26
2022-05-14,5,204
2022-05-14,6,447
2022-05-14,7,985
2022-05-14,8,1763
2022-05-14,9,2366
2022-05-14,10,2696
2022-05-14,11,3256
2022-05-14,12,3836
2022-05-14,13,4004
2022-05-14,14,3953
2022-05-14,15,3900
2022-05-14,16,4154
2022-05-14,17,4246
2022-05-14,18,3950
2022-05-14,19,3631
2022-05-14,20,2440
2022-05-14,21,2291
2022-05-14,22,1776
2022-05-14,23,1202
2022-05-15,0,697
2022-05-15,1,492
2022-05-15,2,328
2022-05-15,3,224
2022-05-15,4,32
2022-05-15,5,254
2022-05-15,6,447
2022-05-15,7,836
2022-05-15,8,1561
2022-05-15,9,2097
2022-05-15,10,2688
2022-05-15,11,3539
2022-05-15,12,4052
2022-05-15,13,4090
2022-05-15,14,4358
2022-05-15,15,4360
2022-05-15,16,4340
2022-05-15,17,3764
2022-05-15,18,3267
2022-05-15,19,2578
2022-05-15,20,1997
2022-05-15,21,1665
2022-05-15,22,978
2022-05-15,23,721
2022-05-16,0,373
2022-05-16,1,263
2022-05-16,2,147
2022-05-16,3,136
2022-05-16,4,20
2022-05-16,5,141
2022-05-16,6,664
2022-05-16,7,2493
2022-05-16,8,4035
2022-05-16,9,2720
2022-05-16,10,2232
2022-05-16,11,2502
2022-05-16,12,3183
2022-05-16,13,2729
2022-05-16,14,2691
2022-05-16,15,2666
2022-05-16,16,2886
2022-05-16,17,3839
2022-05-16,18,3981
2022-05-16,19,3405
2022-05-16,20,2404
2022-05-16,21,1807
2022-05-16,22,1422
2022-05-16,23,1017
2022-05-17,0,471
2022-05-17,1,276
2022-05-17,2,188
2022-05-17,3,101
2022-05-17,4,19
2022-05-17,5,194
2022-05-17,6,642
2022-05-17,7,2522
2022-05-17,8,4375
2022-05-17,9,2588
2022-05-17,10,137
2022-05-21,0,265
2022-05-28,11,1478
2022-05-28,12,954
2022-05-28,14,680
2022-05-28,15,1200
2022-05-28,16,2699
2022-05-28,17,2637
2022-05-28,18,2433
2022-05-28,19,2147
2022-05-28,20,1775
2022-05-28,21,1197
2022-05-28,22,280
2022-05-28,23,659
2022-05-29,0,390
2022-05-29,1,164
2022-05-29,2,205
2022-05-29,3,144
2022-05-29,4,78
2022-05-29,5,175
2022-05-29,6,295
2022-05-29,7,442
2022-05-29,8,1461
2022-05-29,9,2777
2022-05-29,10,3312
2022-05-29,11,3899
2022-05-29,12,4277
2022-05-29,13,4000
2022-05-29,14,4025
2022-05-29,15,3885
2022-05-29,16,3880
2022-05-29,17,4228
2022-05-29,18,3684
2022-05-29,19,2971
