datetime,hour,amount
2022-06-03,18,1045
2022-06-03,19,2626
2022-06-03,20,524
2022-06-03,21,1705
2022-06-03,22,1040
2022-06-03,23,595
2022-06-04,0,463
2022-06-04,1,305
2022-06-04,2,150
2022-06-04,3,84
2022-06-04,4,82
2022-06-04,6,265
2022-06-04,7,851
2022-06-04,8,1355
2022-06-04,9,1620
2022-06-04,10,2221
2022-06-04,11,2445
2022-06-04,12,2953
2022-06-04,13,2938
2022-06-04,14,2817
2022-06-04,15,2783
2022-06-04,16,2909
2022-06-04,17,2979
2022-06-04,18,2833
2022-06-04,19,2382
2022-06-04,20,1729
2022-06-04,21,1489
2022-06-04,22,1036
2022-06-04,23,673
2022-06-05,0,471
2022-06-05,1,308
2022-06-05,2,222
2022-06-05,3,190
2022-06-05,4,186
2022-06-05,5,207
2022-06-05,6,316
2022-06-05,7,699
2022-06-05,8,1114
2022-06-05,9,1635
2022-06-05,10,1978
2022-06-05,11,2514
2022-06-05,12,2733
2022-06-05,13,2859
2022-06-05,14,2721
2022-06-05,15,2658
2022-06-05,16,2473
2022-06-05,17,2588
2022-06-05,18,2094
2022-06-05,19,1799
2022-06-05,20,1396
2022-06-05,21,1102
2022-06-05,22,733
2022-06-05,23,486
2022-06-06,0,307
2022-06-06,1,141
2022-06-06,2,127
2022-06-06,3,88
2022-06-06,4,91
2022-06-06,5,162
2022-06-06,6,390
2022-06-06,7,1805
2022-06-06,8,3069
2022-06-06,9,2059
2022-06-06,10,1618
2022-06-06,11,1876
2022-06-06,12,2293
2022-06-06,13,1875
2022-06-06,14,1871
2022-06-06,15,1859
2022-06-06,16,1900
2022-06-06,17,2492
2022-06-06,18,2840
2022-06-06,19,2428
2022-06-06,20,1523
2022-06-06,21,1089
2022-06-06,22,825
2022-06-06,23,499
2022-06-07,0,267
2022-06-07,1,145
2022-06-07,2,128
2022-06-07,3,83
2022-06-07,4,80
2022-06-07,5,165
2022-06-07,6,408
2022-06-07,7,1744
2022-06-07,8,3318
2022-06-07,9,2111
2022-06-07,10,1597
2022-06-07,11,1818
2022-06-07,12,2460
2022-06-07,13,2062
2022-06-07,14,1897
2022-06-07,15,1846
