datetime,hour,amount
2022-04-20,12,44
2022-04-20,20,37
2022-04-20,21,10
2022-04-23,15,335
2022-04-23,16,1708
2022-04-23,17,1728
2022-04-23,18,1655
2022-04-23,19,1447
2022-04-23,20,1028
2022-04-23,21,795
2022-04-23,22,483
2022-04-23,23,327
2022-04-24,0,179
2022-04-24,1,117
2022-04-24,2,47
2022-04-24,3,55
2022-04-24,4,26
2022-04-24,5,82
2022-04-24,6,117
2022-04-24,7,332
2022-04-24,8,637
2022-04-24,9,1017
2022-04-24,10,1060
2022-04-24,11,1228
2022-04-24,12,1339
2022-04-24,13,1657
2022-04-24,14,1360
2022-04-24,15,1485
2022-04-24,16,1431
2022-04-24,17,1362
2022-04-24,18,1245
2022-04-24,19,1050
2022-04-24,20,826
2022-04-24,21,624
2022-04-24,22,333
2022-04-24,23,159
2022-04-25,0,67
2022-04-25,1,58
2022-04-25,2,24
2022-04-25,3,49
2022-04-25,4,4
2022-04-25,5,97
2022-04-25,6,289
2022-04-25,7,1100
2022-04-25,8,1798
2022-04-25,9,1327
2022-04-25,10,1178
2022-04-25,11,1322
2022-04-25,12,1703
2022-04-25,13,1368
2022-04-25,14,1305
2022-04-25,15,1296
2022-04-25,16,1408
2022-04-25,17,1991
2022-04-25,18,2066
2022-04-25,19,1869
2022-04-25,20,1145
2022-04-25,21,759
2022-04-25,22,554
2022-04-25,23,237
2022-04-26,0,105
2022-04-26,1,75
2022-04-26,2,37
2022-04-26,3,60
2022-04-26,4,1
2022-04-26,5,65
2022-04-26,6,217
2022-04-26,7,1161
2022-04-26,8,1923
2022-04-26,9,1416
2022-04-26,10,1084
2022-04-26,11,1141
2022-04-26,12,1648
2022-04-26,13,1436
2022-04-26,14,1201
2022-04-26,15,1326
2022-04-26,16,1125
2022-04-26,17,1722
2022-04-26,18,1628
2022-04-26,19,1351
2022-04-26,20,1022
2022-04-26,21,697
2022-04-26,22,470
2022-04-26,23,283
2022-04-27,0,92
2022-04-27,1,65
2022-04-27,2,65
2022-04-27,3,26
2022-04-27,4,10
2022-04-27,5,74
2022-04-27,6,177
2022-04-27,7,966
2022-04-27,8,1802
2022-04-27,9,1193
2022-04-27,10,1303
2022-04-27,11,1446
2022-04-27,12,1522
2022-04-27,13,1331
2022-04-27,14,1637
2022-04-27,15,1837
2022-04-27,16,1673
2022-04-27,17,1914
2022-04-27,18,1967
2022-04-27,19,1585
2022-04-27,20,1016
2022-04-27,21,716
2022-04-27,22,524
2022-04-27,23,305
2022-04-28,0,143
2022-04-28,1,111
2022-04-28,2,40
2022-04-28,3,25
2022-04-28,4,1
2022-04-28,5,67
2022-04-28,6,168
2022-04-28,7,1020
2022-04-28,8,1667
2022-04-28,9,1041
2022-04-28,10,885
2022-04-28,11,774
2022-04-28,12,1616
2022-04-28,13,1096
2022-04-28,14,989
2022-04-28,15,1300
2022-04-28,16,1256
2022-04-28,17,1925
2022-04-28,18,8
2022-04-28,19,1514
2022-04-28,20,701
2022-04-28,21,732
2022-04-28,22,463
2022-04-28,23,273
2022-04-29,0,212
2022-04-29,1,73
2022-04-29,2,74
2022-04-29,3,59
2022-04-29,4,32
2022-04-29,5,84
2022-04-29,6,84
2022-04-29,7,276
2022-04-29,8,733
2022-04-29,9,869
2022-04-29,10,971
2022-04-29,11,1043
2022-04-29,12,870
2022-04-29,13,1098
2022-04-29,14,841
2022-04-29,15,826
2022-04-29,16,834
2022-04-29,17,890
2022-04-29,18,859
2022-04-29,19,705
2022-04-29,20,550
2022-04-29,21,422
2022-04-29,22,208
2022-04-29,23,143
2022-04-30,0,104
2022-04-30,1,54
2022-04-30,2,58
2022-04-30,3,39
2022-04-30,4,24
2022-04-30,5,51
2022-04-30,6,159
2022-04-30,7,298
2022-04-30,8,724
2022-04-30,9,1012
2022-04-30,10,1097
2022-04-30,11,1248
2022-04-30,12,1465
2022-04-30,13,1244
2022-04-30,14,1426
2022-04-30,15,1526
2022-04-30,16,1447
2022-04-30,17,1489
2022-04-30,18,1437
2022-04-30,19,1244
2022-04-30,20,902
2022-04-30,21,699
2022-04-30,22,497
2022-04-30,23,369
2022-05-01,0,132
2022-05-01,1,119
2022-05-01,2,60
2022-05-01,3,84
2022-05-01,4,10
2022-05-01,5,53
2022-05-01,6,118
2022-05-01,7,292
2022-05-01,8,622
2022-05-01,9,900
2022-05-01,10,987
2022-05-01,11,1054
2022-05-01,12,981
2022-05-01,13,828
2022-05-01,14,847
2022-05-01,15,871
2022-05-01,16,798
2022-05-01,17,793
2022-05-01,18,790
2022-05-01,19,639
2022-05-01,20,552
2022-05-01,21,396
2022-05-01,22,262
2022-05-01,23,165
2022-05-02,0,77
2022-05-02,1,62
2022-05-02,2,37
2022-05-02,3,24
2022-05-02,4,24
2022-05-02,5,76
2022-05-02,6,180
2022-05-02,7,711
2022-05-02,8,1318
2022-05-02,9,1174
2022-05-02,10,1187
2022-05-02,11,1417
2022-05-02,12,1738
2022-05-02,13,1615
2022-05-02,14,1409
2022-05-02,15,1441
2022-05-02,16,1578
2022-05-02,17,1960
2022-05-02,18,1812
2022-05-02,19,1564
2022-05-02,20,913
2022-05-02,21,726
2022-05-02,22,536
2022-05-02,23,354
2022-05-03,0,166
2022-05-03,1,81
2022-05-03,2,65
2022-05-03,3,59
2022-05-03,5,76
2022-05-03,6,160
2022-05-03,7,310
2022-05-03,8,681
2022-05-03,9,859
2022-05-03,10,1100
2022-05-03,11,1241
2022-05-03,12,1305
2022-05-03,13,1498
2022-05-03,14,1593
2022-05-03,15,1528
2022-05-03,16,1551
2022-05-03,17,1473
2022-05-03,18,1561
2022-05-03,19,1103
2022-05-03,20,876
2022-05-03,21,682
2022-05-03,22,365
2022-05-03,23,308
2022-05-04,0,141
2022-05-04,1,73
2022-05-04,2,55
2022-05-04,3,31
2022-05-04,4,28
2022-05-04,5,83
2022-05-04,6,114
2022-05-04,7,368
2022-05-04,8,636
2022-05-04,9,839
2022-05-04,10,1117
2022-05-04,11,1240
2022-05-04,12,1262
2022-05-04,13,1338
2022-05-04,14,1363
2022-05-04,15,1388
2022-05-04,16,1374
2022-05-04,17,1471
2022-05-04,18,1395
2022-05-04,19,1400
2022-05-04,20,1043
2022-05-04,21,665
2022-05-04,22,420
2022-05-04,23,296
2022-05-05,0,139
