datetime,hour,amount
2022-04-21,14,37
2022-04-21,15,71
2022-04-21,16,55
2022-05-21,11,471
2022-05-21,12,1504
2022-05-21,13,1628
2022-05-21,14,443
2022-05-22,17,1387
2022-05-22,18,1301
2022-05-22,19,223
2022-05-24,21,304
2022-05-24,22,38
2022-05-24,23,60
2022-05-25,0,67
2022-05-25,1,52
2022-05-25,2,30
2022-05-25,3,37
2022-05-25,4,27
2022-05-25,5,48
2022-05-25,6,76
2022-05-25,7,377
2022-05-25,8,715
2022-05-25,9,479
2022-05-25,10,469
2022-05-25,11,182
2022-05-25,17,3456
2022-05-25,18,5691
2022-05-25,19,2927
2022-05-25,20,1103
2022-05-25,21,1026
2022-05-29,10,443
2022-05-29,11,1246
2022-05-29,12,3126
2022-05-29,13,4119
2022-05-29,14,2397
2022-05-29,15,2339
2022-05-29,16,2173
